BRU_LE4OLV_0,
W,R
0.25,0.235163
0.251,0.235882
0.252,0.235931
0.253,0.235696
0.254,0.236732
0.255,0.237628
0.256,0.23901
0.257,0.240156
0.258,0.24195
0.259,0.243921
0.26,0.245508
0.261,0.247412
0.262,0.249337
0.263,0.251646
0.264,0.253776
0.265,0.25858
0.266,0.261481
0.267,0.263503
0.268,0.266824
0.269,0.270066
0.27,0.272921
0.271,0.277172
0.272,0.280471
0.273,0.285463
0.274,0.288314
0.275,0.289736
0.276,0.292349
0.277,0.296641
0.278,0.300579
0.279,0.300523
0.28,0.304976
0.281,0.306757
0.282,0.308267
0.283,0.311914
0.284,0.311743
0.285,0.311815
0.286,0.315162
0.287,0.318808
0.288,0.317864
0.289,0.320643
0.29,0.321323
0.291,0.322436
0.292,0.322816
0.293,0.322734
0.294,0.32627
0.295,0.32795
0.296,0.328122
0.297,0.332009
0.298,0.335478
0.299,0.335457
0.3,0.338279
0.301,0.340039
0.302,0.341809
0.303,0.344535
0.304,0.34776
0.305,0.349532
0.306,0.35201
0.307,0.355502
0.308,0.358963
0.309,0.363604
0.31,0.363128
0.311,0.369668
0.312,0.37227
0.313,0.374773
0.314,0.380277
0.315,0.381724
0.316,0.384707
0.317,0.388522
0.318,0.392602
0.319,0.397029
0.32,0.40075
0.321,0.401182
0.322,0.405099
0.323,0.412426
0.324,0.416584
0.325,0.417855
0.326,0.423095
0.327,0.427776
0.328,0.43332
0.329,0.43658
0.33,0.439497
0.331,0.443295
0.332,0.451388
0.333,0.456242
0.334,0.459002
0.335,0.465537
0.336,0.469905
0.337,0.473651
0.338,0.478281
0.339,0.483658
0.34,0.487753
0.341,0.49361
0.342,0.496229
0.343,0.499856
0.344,0.506439
0.345,0.508605
0.346,0.51134
0.347,0.516137
0.348,0.521648
0.349,0.525234
0.35,0.527496
0.351,0.531326
0.352,0.536652
0.353,0.541623
0.354,0.542777
0.355,0.547105
0.356,0.549001
0.357,0.551587
0.358,0.556059
0.359,0.559252
0.36,0.560874
0.361,0.563759
0.362,0.566475
0.363,0.568708
0.364,0.568056
0.365,0.570967
0.366,0.571174
0.367,0.570906
0.368,0.573783
0.369,0.580161
0.37,0.578865
0.371,0.581159
0.372,0.582538
0.373,0.582432
0.374,0.583326
0.375,0.583871
0.376,0.586524
0.377,0.589583
0.378,0.591906
0.379,0.59067
0.38,0.589944
0.381,0.592396
0.382,0.593225
0.383,0.592625
0.384,0.594007
0.385,0.595839
0.386,0.596768
0.387,0.597642
0.388,0.599784
0.389,0.600401
0.39,0.602879
0.391,0.605066
0.392,0.604116
0.393,0.604341
0.394,0.605938
0.395,0.607438
0.396,0.608933
0.397,0.610599
0.398,0.610064
0.399,0.609223
0.4,0.610465
0.401,0.609862
0.402,0.609998
0.403,0.613735
0.404,0.616063
0.405,0.619104
0.406,0.621563
0.407,0.623252
0.408,0.624785
0.409,0.62532
0.41,0.627713
0.411,0.629299
0.412,0.630403
0.413,0.63053
0.414,0.630191
0.415,0.630125
0.416,0.630452
0.417,0.631745
0.418,0.633642
0.419,0.635074
0.42,0.63484
0.421,0.635519
0.422,0.636347
0.423,0.635814
0.424,0.637464
0.425,0.638455
0.426,0.63923
0.427,0.639835
0.428,0.639038
0.429,0.639513
0.43,0.640249
0.431,0.641254
0.432,0.642239
0.433,0.641618
0.434,0.641729
0.435,0.644304
0.436,0.644857
0.437,0.644584
0.438,0.644717
0.439,0.646201
0.44,0.647497
0.441,0.647676
0.442,0.64924
0.443,0.649254
0.444,0.647902
0.445,0.647678
0.446,0.649866
0.447,0.651319
0.448,0.650595
0.449,0.649886
0.45,0.650537
0.451,0.651243
0.452,0.651405
0.453,0.65176
0.454,0.653164
0.455,0.653369
0.456,0.65619
0.457,0.657937
0.458,0.65819
0.459,0.659298
0.46,0.660222
0.461,0.661719
0.462,0.663527
0.463,0.663808
0.464,0.664593
0.465,0.666014
0.466,0.665913
0.467,0.666981
0.468,0.666386
0.469,0.66788
0.47,0.669096
0.471,0.669956
0.472,0.67103
0.473,0.671902
0.474,0.673283
0.475,0.675552
0.476,0.676068
0.477,0.678802
0.478,0.679319
0.479,0.678857
0.48,0.681332
0.481,0.68199
0.482,0.683716
0.483,0.682697
0.484,0.683218
0.485,0.682523
0.486,0.681613
0.487,0.681422
0.488,0.682864
0.489,0.682542
0.49,0.684352
0.491,0.685391
0.492,0.685827
0.493,0.68681
0.494,0.688216
0.495,0.68729
0.496,0.688045
0.497,0.69044
0.498,0.693378
0.499,0.696194
0.5,0.698184
0.501,0.700231
0.502,0.701936
0.503,0.704255
0.504,0.704985
0.505,0.706106
0.506,0.706332
0.507,0.709514
0.508,0.710221
0.509,0.711516
0.51,0.712499
0.511,0.712926
0.512,0.714902
0.513,0.714548
0.514,0.715661
0.515,0.716059
0.516,0.717101
0.517,0.718701
0.518,0.718382
0.519,0.721244
0.52,0.721049
0.521,0.721318
0.522,0.721505
0.523,0.723531
0.524,0.723529
0.525,0.725212
0.526,0.725161
0.527,0.726787
0.528,0.727802
0.529,0.728625
0.53,0.730054
0.531,0.730465
0.532,0.730511
0.533,0.731607
0.534,0.733248
0.535,0.733899
0.536,0.736634
0.537,0.737959
0.538,0.738203
0.539,0.73928
0.54,0.739468
0.541,0.742346
0.542,0.742632
0.543,0.743984
0.544,0.744095
0.545,0.743879
0.546,0.747809
0.547,0.746239
0.548,0.747311
0.549,0.74887
0.55,0.751823
0.551,0.750488
0.552,0.7518
0.553,0.752713
0.554,0.754125
0.555,0.753614
0.556,0.755324
0.557,0.753427
0.558,0.754943
0.559,0.755334
0.56,0.755566
0.561,0.757551
0.562,0.755682
0.563,0.756566
0.564,0.7572
0.565,0.757424
0.566,0.757148
0.567,0.757163
0.568,0.757669
0.569,0.75874
0.57,0.75797
0.571,0.756966
0.572,0.757698
0.573,0.757026
0.574,0.75749
0.575,0.757486
0.576,0.757236
0.577,0.757754
0.578,0.75694
0.579,0.755821
0.58,0.756834
0.581,0.756403
0.582,0.756656
0.583,0.757528
0.584,0.75721
0.585,0.756961
0.586,0.755567
0.587,0.755
0.588,0.755887
0.589,0.755446
0.59,0.754919
0.591,0.753451
0.592,0.753747
0.593,0.754827
0.594,0.753342
0.595,0.752832
0.596,0.752232
0.597,0.752013
0.598,0.75344
0.599,0.752254
0.6,0.7514
0.601,0.750635
0.602,0.749743
0.603,0.749965
0.604,0.749913
0.605,0.749247
0.606,0.748713
0.607,0.747868
0.608,0.746671
0.609,0.745552
0.61,0.743442
0.611,0.743202
0.612,0.744265
0.613,0.743848
0.614,0.743456
0.615,0.743176
0.616,0.741774
0.617,0.741133
0.618,0.741361
0.619,0.739522
0.62,0.738512
0.621,0.738493
0.622,0.738071
0.623,0.736959
0.624,0.736314
0.625,0.736251
0.626,0.734495
0.627,0.734947
0.628,0.735963
0.629,0.734926
0.63,0.73384
0.631,0.733354
0.632,0.732415
0.633,0.733663
0.634,0.733645
0.635,0.73074
0.636,0.73066
0.637,0.729684
0.638,0.73113
0.639,0.731274
0.64,0.7338
0.641,0.73407
0.642,0.733092
0.643,0.733641
0.644,0.732702
0.645,0.732058
0.646,0.734011
0.647,0.733749
0.648,0.732709
0.649,0.733614
0.65,0.734563
0.651,0.733994
0.652,0.73425
0.653,0.733681
0.654,0.73579
0.655,0.736038
0.656,0.735965
0.657,0.735176
0.658,0.736495
0.659,0.738525
0.66,0.738237
0.661,0.738289
0.662,0.73783
0.663,0.736241
0.664,0.736659
0.665,0.737336
0.666,0.738805
0.667,0.73736
0.668,0.736549
0.669,0.735546
0.67,0.737118
0.671,0.737875
0.672,0.73698
0.673,0.736722
0.674,0.738918
0.675,0.738075
0.676,0.739485
0.677,0.734947
0.678,0.734562
0.679,0.733839
0.68,0.737568
0.681,0.734332
0.682,0.733816
0.683,0.732595
0.684,0.733391
0.685,0.734588
0.686,0.733314
0.687,0.732387
0.688,0.732855
0.689,0.732575
0.69,0.729321
0.691,0.730182
0.692,0.728018
0.693,0.72992
0.694,0.730773
0.695,0.726821
0.696,0.726233
0.697,0.728368
0.698,0.728175
0.699,0.727039
0.7,0.721987
0.701,0.725494
0.702,0.720867
0.703,0.722537
0.704,0.723848
0.705,0.722201
0.706,0.718461
0.707,0.716511
0.708,0.719301
0.709,0.716216
0.71,0.713515
0.711,0.715619
0.712,0.71337
0.713,0.71517
0.714,0.713486
0.715,0.713579
0.716,0.714145
0.717,0.710292
0.718,0.710248
0.719,0.707904
0.72,0.709514
0.721,0.705084
0.722,0.705952
0.723,0.704791
0.724,0.705687
0.725,0.705991
0.726,0.704109
0.727,0.699421
0.728,0.697705
0.729,0.69889
0.73,0.697391
0.731,0.698026
0.732,0.697915
0.733,0.693679
0.734,0.691783
0.735,0.695396
0.736,0.689427
0.737,0.68826
0.738,0.688863
0.739,0.684757
0.74,0.686427
0.741,0.683439
0.742,0.682002
0.743,0.682688
0.744,0.683305
0.745,0.681355
0.746,0.682348
0.747,0.677523
0.748,0.675938
0.749,0.677815
0.75,0.675885
0.751,0.673468
0.752,0.674638
0.753,0.672989
0.754,0.668286
0.755,0.67088
0.756,0.66925
0.757,0.666926
0.758,0.665202
0.759,0.664809
0.76,0.663892
0.761,0.661404
0.762,0.660469
0.763,0.660258
0.764,0.655288
0.765,0.655172
0.766,0.656998
0.767,0.653223
0.768,0.648937
0.769,0.650292
0.77,0.64985
0.771,0.649334
0.772,0.646804
0.773,0.646956
0.774,0.64295
0.775,0.645005
0.776,0.645009
0.777,0.642596
0.778,0.640747
0.779,0.639164
0.78,0.638543
0.781,0.636103
0.782,0.635137
0.783,0.635869
0.784,0.633659
0.785,0.632134
0.786,0.631075
0.787,0.630118
0.788,0.628133
0.789,0.62989
0.79,0.627655
0.791,0.626487
0.792,0.624695
0.793,0.62029
0.794,0.619324
0.795,0.621966
0.796,0.622002
0.797,0.617889
0.798,0.618074
0.799,0.617029
0.8,0.612033
0.801,0.61049
0.802,0.611124
0.803,0.613297
0.804,0.614129
0.805,0.612586
0.806,0.610175
0.807,0.609119
0.808,0.609525
0.809,0.60788
0.81,0.607903
0.811,0.607188
0.812,0.604694
0.813,0.603761
0.814,0.603523
0.815,0.601724
0.816,0.599968
0.817,0.600305
0.818,0.599578
0.819,0.599654
0.82,0.598952
0.821,0.594829
0.822,0.595821
0.823,0.599087
0.824,0.59822
0.825,0.597577
0.826,0.595419
0.827,0.592551
0.828,0.594842
0.829,0.590393
0.83,0.589187
0.831,0.588368
0.832,0.590162
0.833,0.588845
0.834,0.588122
0.835,0.587919
0.836,0.587192
0.837,0.581911
0.838,0.581736
0.839,0.583746
0.84,0.57853
0.841,0.580755
0.842,0.579203
0.843,0.58009
0.844,0.585236
0.845,0.582875
0.846,0.580318
0.847,0.582853
0.848,0.588307
0.849,0.578514
0.85,0.572961
0.851,0.567808
0.852,0.568531
0.853,0.563105
0.854,0.563835
0.855,0.565302
0.856,0.564056
0.857,0.566989
0.858,0.571183
0.859,0.56778
0.86,0.569611
0.861,0.572997
0.862,0.566927
0.863,0.565385
0.864,0.567275
0.865,0.5729
0.866,0.57138
0.867,0.569123
0.868,0.566529
0.869,0.566709
0.87,0.567937
0.871,0.568214
0.872,0.564973
0.873,0.567045
0.874,0.566155
0.875,0.563274
0.876,0.564227
0.877,0.56466
0.878,0.564999
0.879,0.562653
0.88,0.561552
0.881,0.561922
0.882,0.559468
0.883,0.561409
0.884,0.559803
0.885,0.561001
0.886,0.558009
0.887,0.556783
0.888,0.55789
0.889,0.558872
0.89,0.560625
0.891,0.555863
0.892,0.556104
0.893,0.554668
0.894,0.554922
0.895,0.554247
0.896,0.552939
0.897,0.550204
0.898,0.55098
0.899,0.550085
0.9,0.549792
0.901,0.549706
0.902,0.548834
0.903,0.547484
0.904,0.547343
0.905,0.548063
0.906,0.54754
0.907,0.547645
0.908,0.542941
0.909,0.54129
0.91,0.541753
0.911,0.540884
0.912,0.541413
0.913,0.539222
0.914,0.539118
0.915,0.540413
0.916,0.537017
0.917,0.536442
0.918,0.53549
0.919,0.534981
0.92,0.534463
0.921,0.532382
0.922,0.532139
0.923,0.530997
0.924,0.531001
0.925,0.52963
0.926,0.528179
0.927,0.52745
0.928,0.526054
0.929,0.524316
0.93,0.524121
0.931,0.52347
0.932,0.523379
0.933,0.521255
