RB_LE5OPX_0,
W,R
0.25,0.233096
0.251,0.234421
0.252,0.237134
0.253,0.239705
0.254,0.240881
0.255,0.242645
0.256,0.245543
0.257,0.248501
0.258,0.249831
0.259,0.250081
0.26,0.251982
0.261,0.255702
0.262,0.257713
0.263,0.25923
0.264,0.262179
0.265,0.264938
0.266,0.266236
0.267,0.269315
0.268,0.27131
0.269,0.273246
0.27,0.276297
0.271,0.279079
0.272,0.280706
0.273,0.284269
0.274,0.285626
0.275,0.287286
0.276,0.290354
0.277,0.292322
0.278,0.295384
0.279,0.295406
0.28,0.298328
0.281,0.301836
0.282,0.301145
0.283,0.304786
0.284,0.306134
0.285,0.305129
0.286,0.308499
0.287,0.308892
0.288,0.310647
0.289,0.315071
0.29,0.315199
0.291,0.313984
0.292,0.316739
0.293,0.31587
0.294,0.31896
0.295,0.321386
0.296,0.322185
0.297,0.323605
0.298,0.329634
0.299,0.329472
0.3,0.330639
0.301,0.333137
0.302,0.331612
0.303,0.334835
0.304,0.339925
0.305,0.33881
0.306,0.337586
0.307,0.341868
0.308,0.344979
0.309,0.348673
0.31,0.350838
0.311,0.354009
0.312,0.352457
0.313,0.356417
0.314,0.357872
0.315,0.357839
0.316,0.360282
0.317,0.363725
0.318,0.36377
0.319,0.366444
0.32,0.366967
0.321,0.36806
0.322,0.369783
0.323,0.371176
0.324,0.3756
0.325,0.376985
0.326,0.381637
0.327,0.381922
0.328,0.385475
0.329,0.385964
0.33,0.388575
0.331,0.391518
0.332,0.39534
0.333,0.39813
0.334,0.398372
0.335,0.402228
0.336,0.403572
0.337,0.405298
0.338,0.408652
0.339,0.411367
0.34,0.413331
0.341,0.417368
0.342,0.417432
0.343,0.419694
0.344,0.423636
0.345,0.424706
0.346,0.426038
0.347,0.429839
0.348,0.433624
0.349,0.436303
0.35,0.437047
0.351,0.43903
0.352,0.444242
0.353,0.445619
0.354,0.444936
0.355,0.450163
0.356,0.45212
0.357,0.454615
0.358,0.458247
0.359,0.460365
0.36,0.461741
0.361,0.464802
0.362,0.467377
0.363,0.469819
0.364,0.470613
0.365,0.473215
0.366,0.474311
0.367,0.476328
0.368,0.478603
0.369,0.483736
0.37,0.482521
0.371,0.485136
0.372,0.486903
0.373,0.486236
0.374,0.489037
0.375,0.492017
0.376,0.49289
0.377,0.497096
0.378,0.498792
0.379,0.49658
0.38,0.49825
0.381,0.500139
0.382,0.501583
0.383,0.503009
0.384,0.504417
0.385,0.506651
0.386,0.508126
0.387,0.5085
0.388,0.510629
0.389,0.512153
0.39,0.51416
0.391,0.516585
0.392,0.516603
0.393,0.516552
0.394,0.518467
0.395,0.520169
0.396,0.520746
0.397,0.522405
0.398,0.524204
0.399,0.524358
0.4,0.526179
0.401,0.526993
0.402,0.52761
0.403,0.529678
0.404,0.53077
0.405,0.533169
0.406,0.534574
0.407,0.535691
0.408,0.537065
0.409,0.53809
0.41,0.539278
0.411,0.539927
0.412,0.541899
0.413,0.543521
0.414,0.544705
0.415,0.545112
0.416,0.54516
0.417,0.546212
0.418,0.546538
0.419,0.547495
0.42,0.549138
0.421,0.549503
0.422,0.54958
0.423,0.54904
0.424,0.549418
0.425,0.550312
0.426,0.551427
0.427,0.552163
0.428,0.552509
0.429,0.55384
0.43,0.554088
0.431,0.556297
0.432,0.559579
0.433,0.559958
0.434,0.561348
0.435,0.56357
0.436,0.564806
0.437,0.564929
0.438,0.564387
0.439,0.566313
0.44,0.566391
0.441,0.567437
0.442,0.567994
0.443,0.568232
0.444,0.567912
0.445,0.568861
0.446,0.570009
0.447,0.569941
0.448,0.570058
0.449,0.571414
0.45,0.57153
0.451,0.572445
0.452,0.572594
0.453,0.573238
0.454,0.573808
0.455,0.57419
0.456,0.575385
0.457,0.575823
0.458,0.575446
0.459,0.576694
0.46,0.576789
0.461,0.578605
0.462,0.578992
0.463,0.579273
0.464,0.579357
0.465,0.578767
0.466,0.578733
0.467,0.579506
0.468,0.578832
0.469,0.580493
0.47,0.580817
0.471,0.582436
0.472,0.582946
0.473,0.583672
0.474,0.583735
0.475,0.584175
0.476,0.585229
0.477,0.585312
0.478,0.584837
0.479,0.585842
0.48,0.586991
0.481,0.587879
0.482,0.588532
0.483,0.58962
0.484,0.590708
0.485,0.589853
0.486,0.590109
0.487,0.590985
0.488,0.592679
0.489,0.592657
0.49,0.592579
0.491,0.594459
0.492,0.594536
0.493,0.595653
0.494,0.597187
0.495,0.596682
0.496,0.597121
0.497,0.596682
0.498,0.598827
0.499,0.598783
0.5,0.598503
0.501,0.598556
0.502,0.598753
0.503,0.597461
0.504,0.59357
0.505,0.586371
0.506,0.585237
0.507,0.593094
0.508,0.599756
0.509,0.602826
0.51,0.60485
0.511,0.605384
0.512,0.606543
0.513,0.607907
0.514,0.608924
0.515,0.609446
0.516,0.610093
0.517,0.609945
0.518,0.610343
0.519,0.611332
0.52,0.611296
0.521,0.612228
0.522,0.613333
0.523,0.613997
0.524,0.61252
0.525,0.612505
0.526,0.611424
0.527,0.612537
0.528,0.61402
0.529,0.612763
0.53,0.614571
0.531,0.61468
0.532,0.614048
0.533,0.612557
0.534,0.613125
0.535,0.612771
0.536,0.614654
0.537,0.613573
0.538,0.61334
0.539,0.611571
0.54,0.611298
0.541,0.612152
0.542,0.611669
0.543,0.611197
0.544,0.610209
0.545,0.608883
0.546,0.610531
0.547,0.609785
0.548,0.609411
0.549,0.60929
0.55,0.610698
0.551,0.61027
0.552,0.611814
0.553,0.612472
0.554,0.613065
0.555,0.613493
0.556,0.614383
0.557,0.613298
0.558,0.615102
0.559,0.614726
0.56,0.615317
0.561,0.618143
0.562,0.616432
0.563,0.615886
0.564,0.61744
0.565,0.618576
0.566,0.617629
0.567,0.618433
0.568,0.618118
0.569,0.619253
0.57,0.618216
0.571,0.617166
0.572,0.618451
0.573,0.618371
0.574,0.620045
0.575,0.620002
0.576,0.619513
0.577,0.61938
0.578,0.618323
0.579,0.619252
0.58,0.61966
0.581,0.619737
0.582,0.620645
0.583,0.620052
0.584,0.620427
0.585,0.621257
0.586,0.62045
0.587,0.620445
0.588,0.621333
0.589,0.621628
0.59,0.621594
0.591,0.620561
0.592,0.621174
0.593,0.621258
0.594,0.620992
0.595,0.621042
0.596,0.62205
0.597,0.621552
0.598,0.621584
0.599,0.622036
0.6,0.621728
0.601,0.622085
0.602,0.621925
0.603,0.621836
0.604,0.622873
0.605,0.621742
0.606,0.620912
0.607,0.621415
0.608,0.62195
0.609,0.622897
0.61,0.622332
0.611,0.622057
0.612,0.622473
0.613,0.622947
0.614,0.622807
0.615,0.621063
0.616,0.621455
0.617,0.621844
0.618,0.622479
0.619,0.622922
0.62,0.622026
0.621,0.62222
0.622,0.622782
0.623,0.623066
0.624,0.622602
0.625,0.623469
0.626,0.622811
0.627,0.623169
0.628,0.624361
0.629,0.623872
0.63,0.624523
0.631,0.624073
0.632,0.624561
0.633,0.625842
0.634,0.623663
0.635,0.622581
0.636,0.625675
0.637,0.625817
0.638,0.624598
0.639,0.624235
0.64,0.624474
0.641,0.625176
0.642,0.62434
0.643,0.624806
0.644,0.625416
0.645,0.624833
0.646,0.623414
0.647,0.624533
0.648,0.625276
0.649,0.625632
0.65,0.62381
0.651,0.622884
0.652,0.625084
0.653,0.624676
0.654,0.625324
0.655,0.624437
0.656,0.626477
0.657,0.626924
0.658,0.626835
0.659,0.628409
0.66,0.626442
0.661,0.625987
0.662,0.628207
0.663,0.62449
0.664,0.625086
0.665,0.625715
0.666,0.625683
0.667,0.625418
0.668,0.623093
0.669,0.623895
0.67,0.627352
0.671,0.628099
0.672,0.624859
0.673,0.625603
0.674,0.626291
0.675,0.626215
0.676,0.627071
0.677,0.626842
0.678,0.626506
0.679,0.628188
0.68,0.625845
0.681,0.625361
0.682,0.622915
0.683,0.622706
0.684,0.626101
0.685,0.628752
0.686,0.62758
0.687,0.623536
0.688,0.625841
0.689,0.623364
0.69,0.624274
0.691,0.623452
0.692,0.622575
0.693,0.627781
0.694,0.624316
0.695,0.626694
0.696,0.622914
0.697,0.625255
0.698,0.625223
0.699,0.62505
0.7,0.624183
0.701,0.62347
0.702,0.62658
0.703,0.624486
0.704,0.623731
0.705,0.621298
0.706,0.621595
0.707,0.618749
0.708,0.622875
0.709,0.619733
0.71,0.618785
0.711,0.619702
0.712,0.621039
0.713,0.621007
0.714,0.619499
0.715,0.617806
0.716,0.619461
0.717,0.620296
0.718,0.617109
0.719,0.616614
0.72,0.615738
0.721,0.616564
0.722,0.614239
0.723,0.614076
0.724,0.610326
0.725,0.611813
0.726,0.613303
0.727,0.611794
0.728,0.606348
0.729,0.607607
0.73,0.611254
0.731,0.608502
0.732,0.605199
0.733,0.605335
0.734,0.603278
0.735,0.604472
0.736,0.601006
0.737,0.597441
0.738,0.598356
0.739,0.595751
0.74,0.59585
0.741,0.596214
0.742,0.593441
0.743,0.592416
0.744,0.593414
0.745,0.593513
0.746,0.590222
0.747,0.586849
0.748,0.586596
0.749,0.583478
0.75,0.582446
0.751,0.581825
0.752,0.581785
0.753,0.579771
0.754,0.575581
0.755,0.577363
0.756,0.574667
0.757,0.571331
0.758,0.569886
0.759,0.565544
0.76,0.566192
0.761,0.565931
0.762,0.564075
0.763,0.562399
0.764,0.555938
0.765,0.55587
0.766,0.554187
0.767,0.55206
0.768,0.54818
0.769,0.547097
0.77,0.546533
0.771,0.543529
0.772,0.539331
0.773,0.536528
0.774,0.534013
0.775,0.532511
0.776,0.532647
0.777,0.52918
0.778,0.525839
0.779,0.524077
0.78,0.522216
0.781,0.518258
0.782,0.516793
0.783,0.515651
0.784,0.51311
0.785,0.510216
0.786,0.505445
0.787,0.503315
0.788,0.501432
0.789,0.499834
0.79,0.498034
0.791,0.496004
0.792,0.490858
0.793,0.486764
0.794,0.484452
0.795,0.483685
0.796,0.48242
0.797,0.478569
0.798,0.474978
0.799,0.473079
0.8,0.470473
0.801,0.466522
0.802,0.464104
0.803,0.462664
0.804,0.460415
0.805,0.458337
0.806,0.454616
0.807,0.453067
0.808,0.452054
0.809,0.447169
0.81,0.444004
0.811,0.441283
0.812,0.438786
0.813,0.438321
0.814,0.436366
0.815,0.432587
0.816,0.429367
0.817,0.427629
0.818,0.425284
0.819,0.420843
0.82,0.418078
0.821,0.41642
0.822,0.414699
0.823,0.413132
0.824,0.41221
0.825,0.410314
0.826,0.407729
0.827,0.405607
0.828,0.404787
0.829,0.396622
0.83,0.396048
0.831,0.395571
0.832,0.392321
0.833,0.383907
0.834,0.385627
0.835,0.386319
0.836,0.387267
0.837,0.385895
0.838,0.377942
0.839,0.378531
0.84,0.380095
0.841,0.37799
0.842,0.374062
0.843,0.377281
0.844,0.372522
0.845,0.364837
0.846,0.365252
0.847,0.356305
0.848,0.357073
0.849,0.354936
0.85,0.349694
0.851,0.344019
0.852,0.340383
0.853,0.33813
0.854,0.337401
0.855,0.33409
0.856,0.333932
0.857,0.339792
0.858,0.341221
0.859,0.337425
0.86,0.337748
0.861,0.343131
0.862,0.33864
0.863,0.337342
0.864,0.334698
0.865,0.336698
0.866,0.336689
0.867,0.331177
0.868,0.331721
0.869,0.329521
0.87,0.33346
0.871,0.328825
0.872,0.328684
0.873,0.327999
0.874,0.325477
0.875,0.322684
0.876,0.320216
0.877,0.319714
0.878,0.320392
0.879,0.319425
0.88,0.3152
0.881,0.312884
0.882,0.309194
0.883,0.313454
0.884,0.314876
0.885,0.316519
0.886,0.313736
0.887,0.311954
0.888,0.31408
0.889,0.312745
0.89,0.313668
0.891,0.311264
0.892,0.30957
0.893,0.308114
0.894,0.307753
0.895,0.308456
0.896,0.306604
0.897,0.30858
0.898,0.307361
0.899,0.307575
0.9,0.305309
0.901,0.305835
0.902,0.304376
0.903,0.304514
0.904,0.305222
0.905,0.305464
0.906,0.305528
0.907,0.302027
0.908,0.304859
0.909,0.30225
0.91,0.302051
0.911,0.302685
0.912,0.302167
0.913,0.301736
0.914,0.303662
0.915,0.302844
0.916,0.302335
0.917,0.302493
0.918,0.303006
0.919,0.302669
0.92,0.303098
0.921,0.303015
0.922,0.305007
0.923,0.30593
0.924,0.309156
0.925,0.30722
0.926,0.305118
0.927,0.305416
0.928,0.307283
0.929,0.306927
0.93,0.308068
0.931,0.307084
0.932,0.308372
0.933,0.309518
0.934,0.309668
0.935,0.309591
0.936,0.310334
0.937,0.312692
0.938,0.312602
0.939,0.313573
0.94,0.313451
0.941,0.315426
0.942,0.315685
0.943,0.316829
0.944,0.317276
0.945,0.318227
0.946,0.32027
0.947,0.320054
0.948,0.321407
0.949,0.322286
0.95,0.323395
0.951,0.324017
0.952,0.325116
0.953,0.327115
0.954,0.328005
0.955,0.329375
0.956,0.331428
0.957,0.332423
