RB_LE6OPX,
W,R
0.25,0.103433
0.251,0.103642
0.252,0.104087
0.253,0.104344
0.254,0.10482
0.255,0.105176
0.256,0.10599
0.257,0.106041
0.258,0.106304
0.259,0.106226
0.26,0.10815
0.261,0.109505
0.262,0.109364
0.263,0.109626
0.264,0.110331
0.265,0.11165
0.266,0.112633
0.267,0.113136
0.268,0.113715
0.269,0.114739
0.27,0.115882
0.271,0.116427
0.272,0.116566
0.273,0.117234
0.274,0.118283
0.275,0.119294
0.276,0.119489
0.277,0.119362
0.278,0.119482
0.279,0.121524
0.28,0.122361
0.281,0.123409
0.282,0.12374
0.283,0.12343
0.284,0.122376
0.285,0.122544
0.286,0.123605
0.287,0.123635
0.288,0.123168
0.289,0.123791
0.29,0.124167
0.291,0.123336
0.292,0.122517
0.293,0.123962
0.294,0.124297
0.295,0.124826
0.296,0.125477
0.297,0.125012
0.298,0.125201
0.299,0.125462
0.3,0.126074
0.301,0.126822
0.302,0.126732
0.303,0.127649
0.304,0.127257
0.305,0.128072
0.306,0.128897
0.307,0.128334
0.308,0.128684
0.309,0.128998
0.31,0.129333
0.311,0.130225
0.312,0.129598
0.313,0.130656
0.314,0.131728
0.315,0.132473
0.316,0.132918
0.317,0.133421
0.318,0.131598
0.319,0.133427
0.32,0.134013
0.321,0.135601
0.322,0.137448
0.323,0.137401
0.324,0.138451
0.325,0.137244
0.326,0.137441
0.327,0.138999
0.328,0.140195
0.329,0.140951
0.33,0.141327
0.331,0.14212
0.332,0.14476
0.333,0.145293
0.334,0.14523
0.335,0.147088
0.336,0.146698
0.337,0.147897
0.338,0.149736
0.339,0.149919
0.34,0.151195
0.341,0.152019
0.342,0.153893
0.343,0.153798
0.344,0.154496
0.345,0.156117
0.346,0.157337
0.347,0.157585
0.348,0.158967
0.349,0.160643
0.35,0.161572
0.351,0.162341
0.352,0.162914
0.353,0.164265
0.354,0.165436
0.355,0.165876
0.356,0.167842
0.357,0.169416
0.358,0.170426
0.359,0.171414
0.36,0.172035
0.361,0.173395
0.362,0.174179
0.363,0.174981
0.364,0.176117
0.365,0.177309
0.366,0.177889
0.367,0.178534
0.368,0.179258
0.369,0.181313
0.37,0.182023
0.371,0.183102
0.372,0.182635
0.373,0.183621
0.374,0.185091
0.375,0.186118
0.376,0.186542
0.377,0.187221
0.378,0.188494
0.379,0.188958
0.38,0.189207
0.381,0.190269
0.382,0.191825
0.383,0.192403
0.384,0.193817
0.385,0.194466
0.386,0.195063
0.387,0.195594
0.388,0.19694
0.389,0.198213
0.39,0.198957
0.391,0.199779
0.392,0.200402
0.393,0.200603
0.394,0.201476
0.395,0.203152
0.396,0.204702
0.397,0.205845
0.398,0.206431
0.399,0.207193
0.4,0.208044
0.401,0.209339
0.402,0.210425
0.403,0.211268
0.404,0.212509
0.405,0.213604
0.406,0.214163
0.407,0.215047
0.408,0.216334
0.409,0.216711
0.41,0.217436
0.411,0.219077
0.412,0.220046
0.413,0.220921
0.414,0.221968
0.415,0.222729
0.416,0.223602
0.417,0.224259
0.418,0.224711
0.419,0.225726
0.42,0.227001
0.421,0.228083
0.422,0.228376
0.423,0.228121
0.424,0.229304
0.425,0.229634
0.426,0.230045
0.427,0.231066
0.428,0.232319
0.429,0.233875
0.43,0.234678
0.431,0.235404
0.432,0.237086
0.433,0.237649
0.434,0.239069
0.435,0.239968
0.436,0.24021
0.437,0.241053
0.438,0.242043
0.439,0.242885
0.44,0.243371
0.441,0.244403
0.442,0.244537
0.443,0.245013
0.444,0.246018
0.445,0.247143
0.446,0.247643
0.447,0.248206
0.448,0.249305
0.449,0.250372
0.45,0.250828
