SM-Eifel,
W,R
0.32243935,0.102230235
0.325017399,0.104987993
0.325049063,0.10289797
0.327658775,0.103899573
0.330268487,0.104567308
0.330268487,0.105235043
0.334183056,0.106570513
0.335487912,0.107238248
0.338097624,0.10823985
0.33940248,0.108573718
0.340707336,0.109575321
0.342012193,0.110243056
0.343317049,0.110576923
0.343317049,0.110910791
0.344621905,0.111578526
0.347231617,0.112913996
0.348536473,0.113581731
0.348536473,0.113915598
0.351146186,0.114917201
0.35636561,0.115918803
0.35636561,0.116586538
0.357670466,0.116920406
0.358975323,0.116920406
0.361585035,0.117588141
0.365499603,0.117922009
0.369414172,0.118923611
0.37332874,0.120259081
0.37402562,0.121765463
0.377243309,0.121260684
0.379853021,0.122262286
0.381157877,0.123597756
0.382462733,0.124265491
0.382462733,0.124933226
0.385072446,0.125600962
0.387682158,0.126268697
0.39029187,0.126936432
0.392901583,0.127604167
0.392901583,0.128271902
0.396816151,0.129607372
0.398121007,0.130275107
0.400730719,0.131276709
0.402035576,0.132278312
0.403340432,0.133279915
0.407255,0.134949252
0.41045651,0.136698732
0.411169569,0.136284722
0.412474425,0.136284722
0.415084137,0.137620192
0.418998706,0.138287927
0.418998706,0.139623397
0.422913274,0.140291132
0.422913274,0.141292735
0.42421813,0.142294338
0.426827842,0.142962073
0.426827842,0.143963675
0.430742411,0.144965278
0.432047267,0.146300748
0.433352123,0.146634615
0.435961836,0.14730235
0.437266692,0.148303953
0.442486116,0.149305556
0.442486116,0.149973291
0.445095829,0.151308761
0.450315253,0.152644231
0.452091813,0.152889651
0.455534678,0.153645833
0.456839534,0.154313568
0.460754102,0.154981303
0.463363815,0.155982906
0.465973527,0.156316774
0.468583239,0.156316774
0.471192952,0.157652244
0.47510752,0.157986111
0.476412376,0.158653846
0.476412376,0.160323184
0.479022089,0.160990919
0.481631801,0.161992521
0.484241513,0.162994124
0.486851226,0.163995726
0.486851226,0.164997329
0.489460938,0.166332799
0.491124909,0.166279921
0.494680362,0.167668269
0.494680362,0.168669872
0.495985219,0.169003739
0.501204643,0.169671474
0.502509499,0.171006944
0.506424068,0.172342415
0.507728924,0.173677885
0.50903378,0.175013355
0.50903378,0.17568109
0.512948349,0.178018162
0.514253205,0.176682692
0.516862917,0.1796875
0.518167773,0.180689103
0.51974918,0.180794678
0.523387198,0.181690705
0.523387198,0.182692308
0.528606622,0.18502938
0.531216335,0.18636485
0.533826047,0.186698718
0.537740615,0.189035791
0.539045472,0.190371261
0.540350328,0.191372863
0.540350328,0.192374466
0.544264896,0.193709936
0.548179465,0.196380876
0.548373451,0.195797699
0.549484321,0.198384081
0.550789177,0.197716346
0.550789177,0.200053419
0.561228026,0.201388889
0.565142595,0.202056624
0.567752307,0.203058226
0.569057163,0.204059829
0.572971732,0.206063034
0.575581444,0.206730769
0.582105725,0.207064637
0.586020293,0.207732372
0.592090519,0.208825471
0.596459142,0.210069444
0.599068855,0.210069444
0.604288279,0.210403312
0.609507704,0.210403312
0.613422272,0.211071047
0.617336841,0.211404915
0.622556265,0.211404915
0.625165978,0.211071047
0.630385402,0.211738782
0.635604827,0.212740385
0.638214539,0.213741987
0.646043676,0.215077457
0.651420825,0.216349175
0.655177669,0.217080662
0.657787382,0.218416132
0.66170195,0.219083868
0.665616518,0.219417735
0.672140799,0.220419338
0.677360224,0.220753205
0.679969936,0.221087073
0.685189361,0.221087073
0.691713641,0.221087073
0.694323354,0.221087073
0.700847635,0.22142094
0.707108043,0.220755657
0.711286484,0.220419338
0.717810765,0.220419338
0.721725333,0.220419338
0.728249614,0.22008547
0.72955447,0.219751603
0.734773895,0.219083868
0.736078751,0.217748397
0.743907888,0.216412927
0.7465176,0.215745192
0.747822456,0.215077457
0.754346737,0.213741987
0.759152171,0.211333372
0.76348073,0.210737179
0.767395298,0.209735577
0.771309867,0.208066239
0.775224435,0.207732372
0.775224435,0.206396902
0.78044386,0.206396902
0.781748716,0.205395299
0.786968141,0.205061432
0.789577853,0.203725962
0.793492421,0.202390491
0.794797278,0.201388889
0.79740699,0.200721154
0.800016702,0.199719551
0.802626414,0.198717949
0.805236127,0.197716346
0.8111963,0.195878404
