SM_OLV,
W,R
0.305153012,0.157508995
0.311948942,0.161363388
0.316789026,0.167623063
0.318702142,0.175806147
0.323544169,0.181584533
0.326432294,0.18928691
0.332235734,0.197953615
0.33414885,0.206136699
0.337038916,0.213357787
0.340900108,0.221060747
0.343778521,0.231169571
0.349583904,0.239354986
0.350527837,0.246574909
0.357306286,0.254760907
0.361171362,0.261501288
0.3650209,0.272091984
0.37179935,0.280277982
0.374685532,0.288461649
0.382442875,0.295204361
0.388240489,0.305314933
0.394047814,0.313019059
0.398882072,0.320722601
0.406631646,0.329390471
0.412437029,0.337575886
0.415321269,0.346240842
0.420161354,0.352500517
0.427914812,0.360205808
0.434697146,0.367429227
0.442446721,0.376097096
0.450207948,0.38187723
0.456011389,0.390543934
0.46376679,0.397767935
0.469581884,0.403546904
0.476356449,0.41269548
0.481190707,0.420399023
0.490890299,0.428105479
0.4986457,0.43532948
0.501539651,0.44158799
0.506375852,0.448810243
0.513160128,0.455552373
0.517021319,0.463255333
0.52185752,0.470477587
0.531559054,0.477702754
0.536387486,0.486850164
0.544146771,0.493111587
0.548982972,0.500333841
0.558680622,0.508521586
0.568386041,0.514784175
0.577112566,0.522490048
0.587798821,0.526828062
0.60238317,0.529724538
0.610156051,0.532616935
0.626698187,0.532626841
0.637380558,0.537927433
0.649041822,0.54178474
0.655826098,0.548526869
0.667479593,0.554309333
0.678169732,0.557684768
0.688871525,0.558172467
0.700559981,0.555291723
0.716132934,0.554338467
0.721986873,0.550491648
0.73173308,0.54664716
0.737594788,0.540875184
0.745398745,0.536066952
0.755148836,0.531259886
0.75906441,0.525486744
0.766870309,0.520197223
0.774674266,0.515388991
0.781510984,0.509136308
0.790293834,0.502884791
0.79712084,0.499038555
0.802001712,0.495191153
0.81467683,0.488941967
0.821509663,0.483651863
0.833188407,0.483177565
0.84487492,0.480778111
0.854611415,0.47934007
0.864353737,0.47645816
0.874092174,0.47453883
0.883838381,0.470694342
0.893584587,0.466849854
0.903334678,0.462042787
0.913088653,0.456273142
0.923809868,0.451947947
0.929677403,0.444732103
0.935537169,0.439441416
0.945289202,0.43415306
0.95115091,0.428381084
0.95994153,0.420204409
0.964828228,0.41491314
0.970691879,0.408659875
0.977522769,0.40385106
0.986309504,0.396636964
0.994113461,0.391828732
1.001919361,0.38653921
1.009721376,0.382212268
1.01752339,0.377885325
1.027269597,0.374040837
1.040906128,0.370679969
1.053554055,0.371168833
1.069117297,0.372622024
1.080778561,0.376479331
1.091458989,0.382261212
1.103112484,0.388043677
1.113792912,0.393825558
1.120583016,0.39912382
1.126405879,0.40297763
1.137086307,0.408759512
1.147770619,0.413578815
1.154564607,0.417914498
1.170114254,0.422736714
1.184698603,0.42563319
1.194417617,0.428526753
1.206074997,0.433346638
1.21384982,0.435757746
1.222593826,0.439132016
1.233285908,0.442026161
1.244947172,0.445883468
1.252718111,0.449257155
1.266321624,0.454078206
1.279927079,0.458417967
1.285748,0.462753067
1.295457303,0.468053077
1.307118567,0.471910384
1.313906728,0.477689935
1.319721822,0.483468903
1.327479165,0.490211615
1.336217344,0.495029753
1.346893888,0.501774213
1.353678164,0.508516342
1.364348881,0.51670467
1.369192851,0.522001767
1.378896327,0.528745644
1.386651728,0.535969646
1.394405187,0.543674937
1.405081731,0.550419397
1.408944864,0.557641068
1.418652225,0.563422366
1.427374866,0.572090819
1.433184134,0.579313655
1.439966468,0.586537074
1.443833486,0.592796166
1.451585002,0.600982746
1.458369279,0.607724876
1.468061102,0.617356489
1.473866485,0.625541904
1.483564135,0.63372965
1.489373402,0.640952486
1.499071052,0.649140231
1.502940012,0.654918034
1.50971652,0.663585321
1.517469978,0.671290612
1.526198446,0.678515196
1.532982722,0.685257326
1.53975923,0.693924613
1.5475224,0.699223457
1.555279743,0.705966169
1.561096779,0.711263848
1.568859949,0.716562692
1.57854983,0.726675595
1.588251365,0.733900762
1.596993428,0.737756321
1.606694963,0.744981487
1.617369564,0.752207237
1.629026943,0.757027123
1.640674612,0.764253455
1.653301173,0.770036502
1.667877753,0.774858135
1.685371592,0.780162806
1.698973163,0.785465146
1.716467001,0.790769817
1.734947501,0.792706045
1.752447166,0.796566848
1.7670354,0.798500746
1.780652509,0.799952771
1.795242684,0.801405379
1.810803985,0.80333986
1.822473018,0.805272009
1.833168984,0.807203576
