SM_OLV_0,
W,R
0.304372228,0.350987311
0.310169841,0.361097883
0.313048255,0.371206707
0.31689585,0.382278693
0.316843409,0.395273505
0.319717938,0.406344908
0.323573303,0.415491736
0.325478649,0.425599977
0.327383996,0.435708219
0.330256582,0.447260911
0.331192746,0.456405991
0.335048111,0.46555282
0.336947631,0.477104929
0.337891564,0.484324852
0.340766092,0.495396255
0.343642563,0.505986368
0.343603718,0.515612155
0.347453256,0.526202852
0.350329727,0.536792965
0.352231189,0.547863785
0.356092381,0.555566746
0.359947745,0.564713574
0.365735648,0.577230593
0.373487164,0.585417173
0.381223142,0.597454068
0.391897744,0.604679817
0.401591509,0.613830142
0.40446798,0.624420255
0.416098168,0.635978192
0.425801645,0.642722069
0.442312705,0.650432604
0.456873747,0.659104552
0.462681072,0.666808678
0.471407598,0.674514551
0.475274616,0.680773644
0.487895351,0.688000558
0.495660463,0.692818113
0.499511943,0.70292752
0.504342317,0.711593642
0.510151584,0.718816478
0.517910869,0.725077901
0.523718194,0.732782026
0.534390854,0.740489065
0.540205948,0.746268033
0.544071023,0.753008415
0.552799491,0.760232999
0.567376071,0.765054633
0.58683935,0.764584997
0.596583614,0.761221798
0.605364523,0.75545157
0.615110729,0.751607082
0.622914686,0.74679885
0.630716701,0.742471907
0.645304934,0.744405805
0.656970083,0.747300533
0.668639116,0.749232682
0.680319802,0.748277096
0.689100711,0.742506868
0.697871908,0.739143086
0.7037375,0.732408532
0.709591439,0.728561713
0.71545509,0.722308448
0.719378433,0.714610149
0.72718239,0.709801917
0.732080742,0.701622911
0.738911633,0.696814097
0.742827207,0.691040955
0.748690857,0.68478769
0.754558392,0.677571846
0.756527833,0.671797539
0.763366492,0.665063567
0.769235969,0.657366434
0.77412461,0.651593875
0.778040184,0.645820733
0.783905777,0.639086179
0.790750263,0.630908339
0.795638904,0.62513578
0.80149867,0.619845093
0.808335387,0.61359241
0.81419321,0.608783013
0.819087678,0.601566586
0.827856933,0.598684094
0.84245682,0.597730256
0.84636851,0.592919693
0.851253266,0.588109713
0.859051397,0.584745349
0.868797603,0.580900861
0.876603503,0.57561134
0.885384411,0.569841112
0.891234465,0.566956872
0.900986498,0.561668515
0.908798225,0.554935126
0.91465799,0.549644439
0.921492765,0.543873046
0.928321713,0.539545521
0.935166199,0.531367681
0.941033734,0.524151836
0.947862682,0.519824311
0.951786025,0.512126012
0.959599694,0.504911334
0.965463344,0.498658068
0.969382803,0.491922348
0.975246453,0.485669083
0.98208317,0.4794164
0.988919887,0.473163717
1.000639419,0.462582344
1.006499184,0.457291657
1.014303141,0.452483425
1.022107098,0.447675193
1.032830256,0.442868709
1.047437912,0.439989713
1.060083896,0.440959867
1.073695178,0.44385576
1.083416136,0.446268033
1.092152372,0.45156746
1.100890551,0.456385598
1.107682597,0.46120257
1.115451593,0.465057546
1.124193657,0.468913105
1.132927951,0.474693821
1.144583388,0.479994996
1.157217719,0.483852885
1.167903974,0.488190899
1.182492208,0.490124796
1.194153472,0.493982103
1.207758927,0.498321865
1.217479884,0.500734138
1.230120042,0.50314816
1.239840999,0.505560433
1.251504205,0.508936451
1.26510966,0.513276212
1.273847839,0.51809435
1.285505219,0.522914235
1.29813178,0.528697282
1.305900777,0.532552258
1.315608138,0.538333557
1.322398241,0.543631819
1.332107545,0.548931828
1.338903475,0.552786222
1.346664702,0.558566355
1.354423988,0.564827778
1.362185216,0.570607911
1.368002252,0.57590559
1.375763479,0.581685724
1.383520823,0.588428436
1.391280108,0.594689859
1.399039393,0.600951282
1.405831439,0.605768254
1.412615715,0.612510383
1.418432751,0.617808062
1.426193979,0.623588196
1.430062939,0.629365998
1.433929957,0.635625091
1.437796975,0.641884183
1.444587078,0.647182444
1.452344422,0.653925156
1.458153689,0.661147993
1.466884099,0.667891288
1.471718357,0.67559483
1.480448767,0.682338125
1.489169466,0.691487867
1.496922924,0.699193158
1.504672499,0.707861027
1.511454833,0.715084446
1.518241051,0.721345286
1.527936759,0.730014321
1.533747969,0.736755868
1.538589996,0.742534254
1.54732429,0.74831497
1.555081633,0.755057682
1.565754292,0.762764721
1.572544396,0.768062982
1.580307565,0.773361826
1.586130428,0.777215637
1.592914705,0.783957767
1.601656768,0.787813326
1.609423823,0.792149591
1.61718505,0.797929725
1.628844372,0.802268321
1.638551733,0.80804962
1.650212997,0.811906926
1.659928128,0.815763068
1.669647142,0.818656631
1.678389206,0.82251219
1.691021594,0.826851368
1.702686743,0.829746097
1.7124077,0.83215837
1.7250498,0.834091102
1.737699669,0.834098677
1.756187938,0.834109748
1.768822269,0.837967637
1.780497129,0.838455919
1.794112295,0.840389233
1.805781328,0.842321383
1.817456188,0.842809664
1.834963622,0.84474531
1.849559625,0.84475405
1.864155627,0.84476279
1.875844082,0.841882046
1.87878659,0.836108322
1.883677173,0.829854474
1.893425322,0.825528697
1.894421696,0.819753807
1.901252586,0.814944993
1.909052659,0.811099339
1.916813886,0.816879473
1.926532901,0.819773036
1.937215271,0.825073628
1.95374187,0.828933848
1.964437836,0.830865415
1.975129917,0.83375956
1.98776619,0.83713616
2.001381357,0.839069475
2.013044563,0.842445493
2.026657788,0.844860097
2.040272954,0.846793412
