SM_OPX,
W,R
0.309726648,0.152567316
0.312526141,0.157866784
0.319094934,0.16241164
0.322835866,0.167711662
0.32657857,0.17263327
0.328438398,0.17755377
0.334055115,0.18436856
0.335909624,0.190424304
0.339643464,0.197237986
0.344318742,0.204052221
0.348990475,0.211623286
0.352734952,0.21616648
0.356470565,0.222601747
0.360163627,0.238118968
0.36019554,0.231307502
0.366728874,0.243420652
0.371375785,0.256289524
0.371400606,0.250991718
0.375106079,0.263860035
0.37978313,0.270295856
0.385394528,0.27824589
0.388186929,0.285059018
0.392860435,0.292251668
0.399423908,0.297931768
0.402223402,0.303231237
0.405953696,0.310801748
0.410628974,0.317615983
0.417188902,0.324052913
0.422810937,0.329732458
0.43031053,0.336548356
0.432161493,0.34336093
0.436833226,0.350931995
0.44246058,0.355476296
0.448087934,0.360020597
0.453708197,0.366078558
0.459319594,0.374028592
0.46682096,0.380466075
0.473379115,0.387281419
0.479940816,0.393339933
0.487438636,0.400534246
0.491177794,0.406212683
0.500562037,0.412651274
0.505242634,0.418330266
0.510857578,0.42552347
0.517428143,0.429689911
0.526814159,0.435750087
0.536198401,0.442188678
0.547479704,0.44560106
0.553098193,0.452037435
0.558716683,0.45847381
0.568104471,0.464155572
0.575605837,0.470593055
0.58500249,0.474382743
0.58968486,0.479683319
0.600960844,0.484230945
0.607534956,0.487640556
0.615036322,0.494078039
0.628193409,0.499005188
0.635694775,0.505442671
0.646967213,0.510747126
0.658241424,0.515673166
0.669517408,0.520220792
0.677965531,0.525523585
0.691131483,0.528558659
0.699595563,0.530455719
0.708997535,0.533110163
0.721245097,0.531225292
0.725973564,0.526687085
0.730702031,0.522148879
0.739194478,0.517991303
0.744864383,0.51345365
0.746772081,0.508156952
0.752443759,0.503240884
0.755294668,0.497566325
0.758150896,0.490756522
0.763838531,0.482434722
0.767643289,0.474111813
0.769559852,0.466923041
0.773361064,0.459356962
0.779041607,0.452548821
0.780020277,0.444602665
0.784761154,0.437415555
0.788562366,0.429849477
0.79047361,0.423795949
0.794274822,0.41622987
0.796186066,0.410176342
0.798100856,0.403365985
0.801902068,0.395799906
0.806644719,0.388234381
0.80761807,0.38142347
0.811410417,0.375749465
0.814264872,0.369318076
0.817122873,0.362129858
0.819027025,0.357589989
0.824700476,0.352295507
0.824721752,0.34775453
0.828517645,0.341323695
0.832318857,0.333757616
0.838002946,0.326192646
0.841797066,0.320140226
0.844651521,0.313708837
0.8456231,0.307276341
0.848475782,0.301223367
0.851317826,0.297440881
0.851383426,0.283439536
0.852289405,0.291008385
0.860739301,0.295932763
0.864540513,0.288366684
0.872100387,0.282316481
0.87684481,0.274372541
0.883461472,0.268700198
0.894774688,0.265301114
0.908912219,0.261903692
0.913630048,0.259635974
0.925856335,0.26229208
0.931485462,0.266457966
0.940875023,0.271761313
0.945550302,0.278575549
0.95398956,0.285770415
0.957721627,0.292962512
0.962391586,0.300911992
0.966138192,0.305001087
0.971761645,0.310377901
0.972664079,0.31870358
0.979215141,0.327032582
0.981824574,0.332710355
0.982927706,0.338387241
0.987411505,0.345882513
0.990397159,0.35163619
0.992230393,0.362232911
0.993004819,0.357692377
0.997440748,0.375404847
0.997845336,0.369426115
0.999682116,0.379266007
1.002467426,0.387592794
1.006204812,0.393649646
1.006363668,0.399931441
1.007094834,0.404624228
1.010830447,0.411059494
1.01456606,0.417494761
1.017524765,0.429000343
1.018260895,0.432633568
1.018301673,0.423930028
1.023872293,0.440583602
1.024780045,0.447774036
1.026447685,0.453526937
1.027563582,0.456479237
1.030359529,0.462535535
1.032205174,0.470483353
1.034052591,0.478052756
1.038717232,0.487137481
1.043358824,0.501141596
1.043394283,0.493573302
1.047082026,0.510225767
1.051753758,0.517796832
1.055478734,0.526502587
1.059207255,0.534451513
1.063877214,0.542400993
1.066664297,0.550349365
1.070385726,0.55981195
1.075995351,0.568140399
1.079723872,0.576089325
1.08439915,0.58290356
1.087191552,0.589716688
1.096574021,0.596533694
1.099373515,0.601833163
1.109700969,0.607893893
1.115324777,0.613195024
1.124712565,0.618876786
1.133158916,0.624557993
1.144431354,0.629862448
1.155705564,0.634788489
1.170749074,0.638959916
1.184856465,0.641995545
1.198018871,0.645787449
1.213060608,0.65033729
1.228107664,0.653751888
1.240333951,0.656407994
1.25821064,0.658689009
1.277979071,0.659079059
1.295866398,0.659089586
1.315636602,0.659101221
1.325063396,0.656457858
1.3354334,0.653436635
1.344861967,0.650414857
1.353352641,0.646635696
1.361841542,0.64323495
1.369396096,0.63831999
1.374131655,0.632268125
1.378867214,0.626216259
1.382659561,0.620542254
1.386457227,0.613733005
1.390242483,0.609572659
1.398699471,0.612983378
1.408115627,0.612610503
1.418492723,0.608075621
1.426050824,0.602403832
1.43361247,0.595975214
1.439282375,0.591437561
1.444955826,0.586143079
1.452506835,0.581984949
1.458178513,0.577068882
1.46290698,0.572530675
1.469530734,0.565344673
1.474260973,0.560428051
1.479930879,0.555890399
1.486538676,0.55211013
1.491268916,0.547193508
1.497885578,0.541521165
1.502621137,0.535469299
1.509230707,0.531310615
1.511140178,0.525635502
1.516810083,0.52109785
1.524364638,0.51618289
1.530984846,0.509753718
1.535716858,0.504458682
1.543283824,0.496894819
1.548012291,0.492356612
1.556504738,0.488199036
1.561245615,0.481011926
1.565975855,0.476095305
1.573541047,0.468909857
1.581097375,0.463616483
1.585829387,0.458321447
1.590554308,0.454540069
1.596224213,0.450002417
1.602839103,0.444708489
1.607571115,0.439413452
1.616067108,0.434499047
1.620799121,0.429204011
1.628360767,0.422775392
1.634973884,0.417859879
1.641587,0.412944366
1.649143328,0.407650991
1.660465408,0.402359834
1.666128222,0.39933584
1.669913477,0.395175494
1.68029412,0.389883782
1.68785222,0.384211993
1.697287878,0.379676556
1.711434274,0.374387061
1.720866386,0.370608454
1.727481275,0.365314526
1.737858372,0.360779643
1.743528277,0.35624199
1.754846812,0.351707662
1.768041131,0.348688101
1.781235451,0.345668539
1.793495424,0.341134765
1.809517604,0.337360036
1.829298445,0.335101183
1.847185773,0.33511171
1.866019857,0.333987546
1.877317116,0.333994195
1.890491933,0.335137196
1.909313607,0.336661936
1.919644607,0.341965837
1.93656922,0.346516787
1.949726308,0.351443935
1.962879849,0.357127913
1.975095498,0.362054507
1.988250813,0.367360071
1.998583586,0.372285557
2.007980239,0.376075245
2.020183477,0.383650742
2.027690162,0.388952981
2.035195074,0.394633635
2.043641424,0.400314843
2.051148109,0.405617081
2.061472017,0.412434641
2.071788833,0.42076586
2.075531538,0.425687468
2.085860764,0.431369784
2.08959815,0.437426636
2.094284066,0.441970384
2.099904329,0.448028344
2.105528137,0.453329475
2.113033049,0.459010128
2.11865863,0.463932844
2.125227423,0.4684777
2.129911566,0.473399862
2.137416477,0.479080515
2.141159182,0.484002123
2.144898341,0.489680561
2.156170779,0.494985016
2.162728934,0.50180036
2.170233846,0.507481013
2.177735212,0.513918496
2.185236578,0.520355979
2.191800051,0.526036079
2.203072489,0.531340534
2.212462051,0.536643881
2.217147967,0.541187628
2.226533982,0.547247805
2.234989197,0.551036939
2.246261635,0.556341394
2.253777185,0.559751559
2.260353069,0.562782755
2.269758587,0.564680369
2.274476416,0.562412651
2.279197791,0.559388103
2.284860604,0.55636411
2.291468402,0.552583841
2.297131215,0.549559847
2.300912925,0.54615633
2.308403653,0.554864302
2.314031007,0.559408603
2.317764847,0.566222285
2.324324775,0.572659214
2.327117176,0.579472342
2.330856335,0.585150779
2.341176697,0.592725168
2.351511243,0.59727224
2.359035657,0.598790331
2.37409867,0.598799196
2.386337367,0.598806399
