SS_OL_3,
W,R
0.256788483,0.040644379
0.261468386,0.042621311
0.267083321,0.044880571
0.270828193,0.046575174
0.274573065,0.048269778
0.281125404,0.051094011
0.285800562,0.052505653
0.291413125,0.054482268
0.296093028,0.0564592
0.302642995,0.059000788
0.306858941,0.061260523
0.31107726,0.063802902
0.315776143,0.068040992
0.31953525,0.071431464
0.324219898,0.073973685
0.327976633,0.077081512
0.333608175,0.081319285
0.337835984,0.084992243
0.340196102,0.08838319
0.34301306,0.090643399
0.346765049,0.093185936
0.351454442,0.096293447
0.355679878,0.099683761
0.358965538,0.102226456
0.361323284,0.105334758
0.364616061,0.108725388
0.367904093,0.111550728
0.371658455,0.11437591
0.373552243,0.117767015
0.378239264,0.120591881
0.381524924,0.123134576
0.383406849,0.125112457
0.386221434,0.127090021
0.387175446,0.129633508
0.390934553,0.133023979
0.394222585,0.13584932
0.397044288,0.138674818
0.400337065,0.142065448
0.404096172,0.14545592
0.40878082,0.147998141
0.41394366,0.151953428
0.417234065,0.155061413
0.421457129,0.158169082
0.425682565,0.161559396
0.431302245,0.164383945
0.435054234,0.166926483
0.438361247,0.172012981
0.442120353,0.175403453
0.447283194,0.17935874
0.451967842,0.181900961
0.45711882,0.184443024
0.461339512,0.187268048
0.465569693,0.191223651
0.46886247,0.194614281
0.472616832,0.197439463
0.475914354,0.201395383
0.478736057,0.204220881
0.482021716,0.206763577
0.48576896,0.208740825
0.49138864,0.211565374
0.497022555,0.216085792
0.500767427,0.217780396
0.505459193,0.221170551
0.509223045,0.225126312
0.512508704,0.227669008
0.51533278,0.230777151
0.517681035,0.232754874
0.519572451,0.235863333
0.523336303,0.239819095
0.525686931,0.242079462
0.528028069,0.24320925
0.53178243,0.246034432
0.534133058,0.2482948
0.536488431,0.251120456
0.540713868,0.25451077
0.544939304,0.257901084
0.54962158,0.26016066
0.553380686,0.263551132
0.558067707,0.266375998
0.561814952,0.268353246
0.564631909,0.270613455
0.567444122,0.272308374
0.571667185,0.275416043
0.57495759,0.278524028
0.577772175,0.280501592
0.584795589,0.283890957
0.589948939,0.286715665
0.593703301,0.289540847
0.596515514,0.291235767
0.600262758,0.293213015
0.604478704,0.295472749
0.608697023,0.298015128
0.612449012,0.300557666
0.614792523,0.301970099
0.619001351,0.303381899
0.623214925,0.305358989
0.627892456,0.307053276
0.631163881,0.307900103
0.637704357,0.309311112
0.642857708,0.31213582
0.648001568,0.313829949
0.651753557,0.316372486
0.654568142,0.318350051
0.659716748,0.320609469
0.664870098,0.323434177
0.669547629,0.325128463
0.674227533,0.327105395
0.678912181,0.329647616
0.682195468,0.331907667
0.686880116,0.334449888
0.690627361,0.336427136
0.694840934,0.338404226
0.699987167,0.340380999
0.706996346,0.342074495
0.71354394,0.344333439
0.718678311,0.344896989
0.723807936,0.344895249
0.73033655,0.344893035
0.734987984,0.343478229
0.737778843,0.342629346
0.740562586,0.340932528
0.745218764,0.340083012
0.749879687,0.339798786
0.757333843,0.338948321
0.76338901,0.338098331
0.767585977,0.338096907
0.774576175,0.337529245
0.779239471,0.337527663
0.783436437,0.33752624
0.787167074,0.337524975
0.790895338,0.337241065
0.799296388,0.338086152
0.807697438,0.338931239
0.816562445,0.339493523
0.824497165,0.340338769
0.831958439,0.340336238
0.837552021,0.340051695
0.845015667,0.340331809
0.850609249,0.340047267
0.857130746,0.339197118
0.86412569,0.339194746
0.868322656,0.339193322
0.873918611,0.339191424
0.878577162,0.338624553
0.885105776,0.338622339
0.89116806,0.338620282
0.894898697,0.338619017
0.900960982,0.338616961
0.907487223,0.338332102
0.911679444,0.337765389
0.917739357,0.337480688
0.923796896,0.336913342
0.928917031,0.335781023
0.933099763,0.334083731
0.936352207,0.3326694
0.940534938,0.330972108
0.945647956,0.328991855
0.951243911,0.328989957
0.957765408,0.328139808
0.964270297,0.325311146
0.969847272,0.32304809
0.975892949,0.321067521
0.981010712,0.319652557
0.985195815,0.31823791
0.989378546,0.316540618
0.995892925,0.314842535
1.001943347,0.313427255
1.006111844,0.310034095
1.010751414,0.307206065
1.016316527,0.303529785
1.019568971,0.302115454
1.024686734,0.300700491
1.027470477,0.299003673
1.031660325,0.298154315
1.036321249,0.297870089
1.040979799,0.297303218
1.047508413,0.297301004
1.054498612,0.296733342
1.058700323,0.297297208
1.064769725,0.298143086
1.072240489,0.299271134
1.077848306,0.30068246
1.087669698,0.304070875
1.094688366,0.30689495
1.096570292,0.308872831
1.099408602,0.313676843
1.104095623,0.316501709
1.107840495,0.318196312
1.109727166,0.320739482
1.11627476,0.322998426
1.119567537,0.326389056
1.124730378,0.330344343
1.129888473,0.33373434
1.135032334,0.335428469
1.141118343,0.33825286
1.145336662,0.340795239
1.14815362,0.343055448
1.152845385,0.346445604
1.157058959,0.348422694
1.159400097,0.349552482
1.16501266,0.351529097
1.171564999,0.35435333
1.17905237,0.357459892
1.183270689,0.360002271
1.189351953,0.362261373
1.195433218,0.364520475
1.201048153,0.366779735
1.208054959,0.368190586
1.215083118,0.37214524
1.220224606,0.373556724
1.225380329,0.376664077
1.230069722,0.379771588
1.236155732,0.382595979
1.241309082,0.385420687
1.245063444,0.388245869
1.24974572,0.390505445
1.254423251,0.392199732
1.261908249,0.395023649
1.268470078,0.398978461
1.273611566,0.400389945
1.28295951,0.402930585
1.28951185,0.405754818
1.292799882,0.408580158
1.298885891,0.41140455
1.302176296,0.414512535
1.308721518,0.416488834
1.314336453,0.418748094
1.318554772,0.421290473
1.322306761,0.423833011
1.327460111,0.426657719
1.334010078,0.429199307
1.339627386,0.431741212
1.343852822,0.435131526
1.3490038,0.437673588
1.352294204,0.440781574
1.357923375,0.444736702
1.361211407,0.447562043
1.367770863,0.45123421
1.372467374,0.455189655
1.376226481,0.458580127
1.380915874,0.461687638
1.384206279,0.464795623
1.388890927,0.467337844
1.392640544,0.469597737
1.396870726,0.47355334
1.401560119,0.47666085
1.405787928,0.480333809
1.409556525,0.484854859
1.414243545,0.487679725
1.418944801,0.49220046
1.424573971,0.496155588
1.429741557,0.500676165
1.433981228,0.505762347
1.436805303,0.50887049
1.438237507,0.512827042
1.442474806,0.51763058
1.447180807,0.522716604
1.450483074,0.527237813
1.455186703,0.532041192
1.458474735,0.534866532
1.463168873,0.538539332
1.467865384,0.542494777
1.472559523,0.546167577
1.475378853,0.548710431
1.478210045,0.552666509
1.482887576,0.554360796
1.487588832,0.55888153
1.493227492,0.563967238
1.498385588,0.567357235
1.502634749,0.573573996
1.505461197,0.576964784
1.507364475,0.581486468
1.511142562,0.587138098
1.512113181,0.591660097
1.513543012,0.595334005
1.518241896,0.599572095
1.52246496,0.602679763
1.526209831,0.604374367
1.534170649,0.608328704
1.539780839,0.610022675
1.546352159,0.615108066
1.549640191,0.617933407
1.553399297,0.621323878
1.558088691,0.624431389
1.563251531,0.628386676
1.567476968,0.631776989
1.570291553,0.633754554
1.574519362,0.637427512
1.578751915,0.64166576
1.586707988,0.645054808
1.592339531,0.649292581
1.597961584,0.652399776
1.601254361,0.655790406
1.603612106,0.658898707
1.607832797,0.661723731
1.611582414,0.663983624
1.616267063,0.666525845
1.620016679,0.668785738
1.626109806,0.672458064
1.63032338,0.674435153
1.637810751,0.677541715
1.645298122,0.680648277
1.650920174,0.683755471
1.655140866,0.686580495
1.661236365,0.690535466
1.665928131,0.693925621
1.670624642,0.697881066
1.67577562,0.700423129
