TJ_OL_0,
W,R
0.497823092,0.867378946
0.5001867,0.868484593
0.501136029,0.869432905
0.501849558,0.870381352
0.502326277,0.871329932
0.50351771,0.872119968
0.504712675,0.873384429
0.505431297,0.874332875
0.50663096,0.875702764
0.507432133,0.876493023
0.508434888,0.877151387
0.508636861,0.878073767
0.509843263,0.878863803
0.510247022,0.879786072
0.511457441,0.880707892
0.512266445,0.881629937
0.513076729,0.882551981
0.514294061,0.883605587
0.515310576,0.884395735
0.516532806,0.885185771
0.517145811,0.886107927
0.517963813,0.887029972
0.519192336,0.887820008
0.520423773,0.888610044
0.521247162,0.889663873
0.522483473,0.890453909
0.523309512,0.891112384
0.52434405,0.892034317
0.525173234,0.892824577
0.526004138,0.893878406
0.527667434,0.894404649
0.528710588,0.895326581
0.529755803,0.896248514
0.530802467,0.896775093
0.531642277,0.897828922
0.532903243,0.898618958
0.533745549,0.899145648
0.535434155,0.90019903
0.536280669,0.900857505
0.537340433,0.901515868
0.538402291,0.902174232
0.539678663,0.902568914
0.540745142,0.903227277
0.542027698,0.904017313
0.542670538,0.9046759
0.544601311,0.905202031
0.545246992,0.905728834
0.546971136,0.906255077
0.548484554,0.906913216
0.550001519,0.907176002
0.551304961,0.907307114
0.552829726,0.9075699
0.554358709,0.907832685
0.556330203,0.907831678
0.558088745,0.907962567
0.559852628,0.907961671
0.561400599,0.907960887
0.563175168,0.908091776
0.564955127,0.90809088
0.566740272,0.907826415
0.568755359,0.907561838
0.570778053,0.907560831
0.572129623,0.90703302
0.573711538,0.907032237
0.575070501,0.906767995
0.577115206,0.906503419
0.578710458,0.906239065
0.580309668,0.905711143
0.58168426,0.905446902
0.582832164,0.905182773
0.584443218,0.90491842
0.585827828,0.904785964
0.587447619,0.90478518
0.589071431,0.904520827
0.590467235,0.904520155
0.591399378,0.904387922
0.592800238,0.904123681
0.59467383,0.904122786
0.596553343,0.90412189
0.598438332,0.903857425
0.599855865,0.903593184
0.602226665,0.903592064
0.604367692,0.903195703
0.60555989,0.902668004
0.606754675,0.902272091
0.607711823,0.901744504
0.60915085,0.901216694
0.609871167,0.900689219
0.610591863,0.899898176
0.612762391,0.899370029
0.613486503,0.898578986
0.614696928,0.898183072
0.616152734,0.897787046
0.617854934,0.896995555
0.619562797,0.896731202
0.621519768,0.896071383
0.622991975,0.895807142
0.625453487,0.895410668
0.627925455,0.895409549
0.62941308,0.895277092
0.631153137,0.895144524
0.633397248,0.894879947
0.636150999,0.894615146
0.638413376,0.894614138
0.639926096,0.894613466
0.642455763,0.894875916
0.64499518,0.895006581
0.647545137,0.895400815
0.649080502,0.895927282
0.650362669,0.896322076
0.651647368,0.89671687
0.653191446,0.896716198
0.655256163,0.896847087
0.657326896,0.896714407
0.659403917,0.896449942
0.661748476,0.896185365
0.663316231,0.896052908
0.665150532,0.896183909
0.667780432,0.896709928
0.669627078,0.896840929
0.671213758,0.896840257
0.672538863,0.896839697
0.674131658,0.896443672
0.676262567,0.896574561
0.678132669,0.896705561
0.680544348,0.896704554
0.681617898,0.896176967
0.683771674,0.895912502
0.684849784,0.895121347
0.686471735,0.894725321
0.688368734,0.894197399
0.689726101,0.893406131
0.691631824,0.892746424
0.692721789,0.891691699
0.694088278,0.891164001
0.695456923,0.890372733
0.696278756,0.88958169
0.697926963,0.88879031
0.699303448,0.888130827
0.700682648,0.887471344
0.701787422,0.886680188
0.703448941,0.886020593
0.704557256,0.884834084
0.706503684,0.884042592
0.707617636,0.883251437
0.709291858,0.882064703
0.710690482,0.881273435
0.711811311,0.880614064
0.712932802,0.879427555
0.714902646,0.878767848
0.716312889,0.87824015
0.717442307,0.877448994
0.718573506,0.876657838
0.71970593,0.875603113
0.720841257,0.875075527
0.721977255,0.874020802
0.723114762,0.872834292
0.724541205,0.872306594
0.725969617,0.871383542
0.726827508,0.870592498
0.727686412,0.869801454
0.72883348,0.868878514
0.730270921,0.868219031
0.731422347,0.867427875
0.732864325,0.866504823
0.73401984,0.865713668
0.735177176,0.864922512
0.736045662,0.863999684
0.737496182,0.862813062
0.738658714,0.861890122
0.739531599,0.861099078
0.740697339,0.860176138
0.741864917,0.859253197
0.743034335,0.858330257
0.744499205,0.857407205
0.744791196,0.856616385
0.74567075,0.855561772
0.747140528,0.854506935
0.748318552,0.85371578
0.748907389,0.852924848
0.750087617,0.851870123
0.751270288,0.851078967
0.752158661,0.850551493
0.752453656,0.849760673
0.753937389,0.848969406
0.75482833,0.848178362
0.755421996,0.847255645
0.756314984,0.846596386
0.756909819,0.84567367
0.757803979,0.844750842
0.758998522,0.843827901
0.759295905,0.842905297
0.759893379,0.842114365
0.761391191,0.841059528
0.762291532,0.840532054
0.763492556,0.839345544
0.763791996,0.838554725
0.764090961,0.837500336
0.764994494,0.836972861
0.765897015,0.835522894
0.765898204,0.836050033
0.766801791,0.834600066
0.767707934,0.833809022
0.768008134,0.832622849
