TJ_OPX_1,
W,R
0.506962584,0.348654495
0.506965146,0.350857818
0.51149395,0.353062897
0.511496535,0.35526622
0.516063211,0.355267976
0.516065819,0.357471299
0.518378867,0.358038308
0.52067329,0.357473054
0.520675921,0.359676378
0.520678553,0.361879701
0.521451563,0.362974413
0.525327797,0.362371084
0.525330451,0.364574407
0.528422197,0.366084219
0.530023018,0.366534672
0.530025697,0.368737995
0.534759454,0.370086226
0.534762006,0.372167142
0.536351467,0.37437105
0.541542392,0.375474614
0.542750602,0.37829041
0.544363808,0.380494319
0.547075075,0.381626987
0.549226392,0.382454584
0.549229168,0.384657907
0.553571994,0.385284828
0.554135835,0.387107799
0.559083198,0.387109555
0.559085709,0.389068064
0.562217083,0.390588377
0.564080115,0.391273143
0.564082966,0.393476466
0.567437986,0.395436146
0.567861873,0.398068039
0.572847638,0.398620597
0.576076877,0.399731961
0.579765562,0.40064268
0.58105799,0.402662831
0.584510856,0.402296781
0.586246868,0.403521435
0.586598246,0.406410353
0.58723463,0.405219015
0.588972108,0.407412904
0.591486566,0.407685023
0.591585737,0.409058758
0.591928251,0.41019451
0.597126826,0.411848728
0.599937356,0.413082587
0.600769988,0.415705743
0.6025493,0.413319395
0.606045295,0.416698965
0.607064344,0.418385408
0.609741741,0.419748095
0.614732385,0.421402197
0.617016139,0.423422641
0.622526081,0.424250643
0.623914576,0.426791024
0.624324295,0.425519189
0.627997478,0.428750821
0.633604816,0.429119797
0.635112502,0.431935622
0.636885155,0.430458061
0.639262545,0.429709105
0.639268682,0.433895419
0.639713817,0.433748895
0.64160603,0.435577233
0.643072332,0.436834354
0.648911899,0.438213216
0.653251803,0.437939117
0.65422264,0.439530699
0.658110647,0.439409462
0.659088243,0.440695027
0.660068032,0.442470218
0.664978228,0.444368987
0.665966587,0.446021772
0.666463702,0.448408852
0.672415635,0.449512269
0.673128146,0.450574295
0.673915358,0.452022048
0.677923538,0.453920525
0.680620578,0.454597542
0.68235997,0.455941525
0.685155663,0.45679216
