Brown University Keck/NASA Relab Spectrum XT-TXH-030-P2/C1XT30P2,,
W,R,Standard Deviation
0.28,0.19662,0.0674
0.285,0.14896,0.02547
0.29,0.13586,0.01224
0.295,0.13219,0.00734
0.3,0.13455,0.00539
0.305,0.13806,0.00443
0.31,0.14434,0.00365
0.315,0.15213,0.0033
0.32,0.16183,0.00281
0.325,0.17295,0.00268
0.33,0.18523,0.00258
0.335,0.19831,0.00261
0.34,0.21371,0.00277
0.345,0.22823,0.0027
0.35,0.2437,0.00246
0.355,0.25985,0.00205
0.36,0.27699,0.00197
0.365,0.29224,0.00203
0.37,0.30549,0.00204
0.375,0.31555,0.0019
0.38,0.32573,0.00221
0.385,0.33404,0.00207
0.39,0.34222,0.00211
0.395,0.35049,0.00208
0.4,0.35907,0.00333
0.405,0.36591,0.00303
0.41,0.37276,0.00305
0.415,0.37953,0.00283
0.42,0.38562,0.00265
0.425,0.39165,0.00307
0.43,0.39357,0.00283
0.435,0.39799,0.00297
0.44,0.40195,0.00264
0.445,0.40474,0.00302
0.45,0.40417,0.0026
0.455,0.40977,0.00276
0.46,0.41318,0.00304
0.465,0.41712,0.00275
0.47,0.42361,0.00277
0.475,0.42854,0.00253
0.48,0.43334,0.0027
0.485,0.43869,0.00268
0.49,0.44837,0.00292
0.495,0.45228,0.00301
0.5,0.45942,0.00263
0.505,0.46099,0.00296
0.51,0.47323,0.00294
0.515,0.48217,0.00274
0.52,0.4886,0.00289
0.525,0.49598,0.00296
0.53,0.49839,0.00303
0.535,0.50385,0.00301
0.54,0.50593,0.00303
0.545,0.50482,0.00324
0.55,0.50673,0.00287
0.555,0.50939,0.00309
0.56,0.51437,0.00309
0.565,0.5158,0.00277
0.57,0.5193,0.0029
0.575,0.51959,0.00281
0.58,0.52079,0.00319
0.585,0.52128,0.00303
0.59,0.52262,0.00324
0.595,0.52298,0.00304
0.6,0.52271,0.0029
0.605,0.5223,0.00319
0.61,0.52219,0.0036
0.615,0.52257,0.00284
0.62,0.52281,0.00303
0.625,0.52474,0.00319
0.63,0.52598,0.00315
0.635,0.52657,0.00319
0.64,0.52784,0.00345
0.645,0.52897,0.00309
0.65,0.52969,0.00321
0.655,0.53148,0.00299
0.66,0.5332,0.00311
0.665,0.53573,0.00324
0.67,0.53856,0.00312
0.675,0.53827,0.00287
0.68,0.54314,0.00329
0.685,0.54285,0.00295
0.69,0.54464,0.0032
0.695,0.54548,0.00303
0.7,0.54823,0.00303
0.705,0.54729,0.00314
0.71,0.54745,0.00298
0.715,0.54872,0.00316
0.72,0.54833,0.00325
0.725,0.54757,0.00331
0.73,0.54693,0.00306
0.735,0.54443,0.00313
0.74,0.54194,0.00309
0.745,0.53899,0.00287
0.75,0.53441,0.00285
0.755,0.52733,0.00327
0.76,0.52442,0.00308
0.765,0.5156,0.00293
0.77,0.5103,0.00336
0.775,0.50214,0.00317
0.78,0.48819,0.00287
0.785,0.48323,0.00308
0.79,0.47265,0.00304
0.795,0.46207,0.00296
0.8,0.45009,0.00732
0.805,0.43966,0.00703
0.81,0.42765,0.00733
0.815,0.4163,0.00675
0.82,0.40544,0.00641
0.825,0.3934,0.00664
0.83,0.38312,0.00587
0.835,0.37091,0.00566
