Brown University Keck/NASA Relab Spectrum XT-TXH-032-P/C1XT32P,,
W,R,Standard Deviation
0.28,0.25653,0.1616
0.285,0.22028,0.06023
0.29,0.21552,0.02851
0.295,0.21384,0.01723
0.3,0.22009,0.01233
0.305,0.22796,0.01004
0.31,0.23927,0.00828
0.315,0.25342,0.00713
0.32,0.26886,0.00636
0.325,0.28634,0.00571
0.33,0.30466,0.00556
0.335,0.32494,0.00535
0.34,0.34516,0.00572
0.345,0.36593,0.00591
0.35,0.38624,0.00493
0.355,0.40619,0.00413
0.36,0.4248,0.00358
0.365,0.4437,0.00375
0.37,0.45774,0.00399
0.375,0.47053,0.00384
0.38,0.47953,0.00383
0.385,0.48917,0.00379
0.39,0.49927,0.00405
0.395,0.50755,0.00405
0.4,0.51524,0.00384
0.405,0.52408,0.00417
0.41,0.53193,0.00382
0.415,0.53792,0.00392
0.42,0.544,0.00498
0.425,0.54777,0.00559
0.43,0.55161,0.0054
0.435,0.55643,0.00514
0.44,0.55921,0.00472
0.445,0.56103,0.00505
0.45,0.56033,0.00519
0.455,0.56187,0.00469
0.46,0.56704,0.00496
0.465,0.57229,0.00474
0.47,0.57579,0.00506
0.475,0.58231,0.00469
0.48,0.58771,0.00484
0.485,0.59256,0.00504
0.49,0.59647,0.00453
0.495,0.60103,0.00481
0.5,0.60973,0.00456
0.505,0.61425,0.00474
0.51,0.62411,0.0047
0.515,0.63083,0.00493
0.52,0.63707,0.00484
0.525,0.6416,0.00466
0.53,0.64533,0.00432
0.535,0.64866,0.00484
0.54,0.65121,0.00481
0.545,0.65227,0.00434
0.55,0.65414,0.00488
0.555,0.65758,0.00459
0.56,0.65991,0.00433
0.565,0.66112,0.00503
0.57,0.66261,0.00443
0.575,0.66291,0.0046
0.58,0.66241,0.00432
0.585,0.66179,0.00449
0.59,0.66196,0.00491
0.595,0.66006,0.00461
0.6,0.65856,0.00462
0.605,0.65783,0.00475
0.61,0.65633,0.00442
0.615,0.65528,0.00418
0.62,0.65377,0.00417
0.625,0.65285,0.00465
0.63,0.65188,0.00437
0.635,0.65137,0.0047
0.64,0.65185,0.00477
0.645,0.65338,0.00471
0.65,0.65422,0.00443
0.655,0.65444,0.00452
0.66,0.65472,0.00484
0.665,0.65637,0.00469
0.67,0.65674,0.00487
0.675,0.6574,0.00446
0.68,0.65718,0.00432
0.685,0.65603,0.0048
0.69,0.65394,0.00475
0.695,0.65388,0.00459
0.7,0.65228,0.00486
0.705,0.65186,0.00458
0.71,0.649,0.00417
0.715,0.64769,0.00437
0.72,0.6453,0.0044
0.725,0.64124,0.00451
0.73,0.63805,0.00466
0.735,0.6341,0.00482
0.74,0.62921,0.00444
0.745,0.62465,0.00425
0.75,0.61915,0.00441
0.755,0.61309,0.00423
0.76,0.60658,0.00492
0.765,0.59889,0.0046
0.77,0.59246,0.0037
0.775,0.5842,0.00477
0.78,0.57736,0.00428
0.785,0.56914,0.00477
0.79,0.56057,0.00432
0.795,0.5525,0.00454
0.8,0.54475,0.01183
0.805,0.53416,0.01108
0.81,0.52763,0.0106
0.815,0.52021,0.01042
0.82,0.51081,0.01016
0.825,0.50506,0.01005
0.83,0.49607,0.00971
0.835,0.48891,0.009
0.84,0.48187,0.00834
0.845,0.47491,0.0079
0.85,0.46923,0.0074
0.855,0.46246,0.00936
0.86,0.45704,0.00853
0.865,0.45077,0.00747
0.87,0.44781,0.007
0.875,0.44338,0.00698
0.88,0.43762,0.00565
0.885,0.43397,0.00532
0.89,0.42967,0.00525
0.895,0.42569,0.00434
0.9,0.42409,0.00481
0.905,0.42002,0.00438
0.91,0.4191,0.00447
0.915,0.41556,0.00473
0.92,0.41425,0.00421
0.925,0.41327,0.00424
0.93,0.41178,0.00367
0.935,0.40885,0.00341
0.94,0.40875,0.00312
0.945,0.40732,0.00356
0.95,0.40636,0.00375
0.955,0.4059,0.00435
0.96,0.40548,0.00364
0.965,0.40519,0.00357
0.97,0.40534,0.00397
0.975,0.40491,0.00349
0.98,0.40559,0.00326
0.985,0.40607,0.00347
0.99,0.4065,0.00359
0.995,0.40727,0.00355
1,0.4071,0.00358
1.005,0.40816,0.00453
1.01,0.40941,0.0052
1.015,0.41071,0.00475
1.02,0.41132,0.00407
1.025,0.41295,0.0043
1.03,0.41418,0.00421
1.035,0.41554,0.00421
1.04,0.41662,0.00464
1.045,0.41648,0.00453
1.05,0.41834,0.0045
1.055,0.42021,0.00445
1.06,0.42074,0.00339
1.065,0.42414,0.00397
1.07,0.42509,0.0044
1.075,0.42804,0.0046
1.08,0.42991,0.00393
1.085,0.43246,0.00443
1.09,0.43576,0.00472
1.095,0.43772,0.00424
1.1,0.44045,0.00369
1.105,0.44389,0.00494
1.11,0.44595,0.00464
1.115,0.44893,0.00421
1.12,0.45213,0.00451
1.125,0.45561,0.00395
1.13,0.45756,0.00442
1.135,0.45945,0.00438
1.14,0.46285,0.00493
1.145,0.4642,0.00389
1.15,0.46636,0.00404
1.155,0.46825,0.00404
1.16,0.47006,0.00427
1.165,0.47136,0.00397
1.17,0.47293,0.00429
1.175,0.47456,0.00445
1.18,0.47605,0.00374
1.185,0.47756,0.00421
1.19,0.4786,0.00401
1.195,0.47948,0.00405
1.2,0.48088,0.00358
1.205,0.48189,0.00426
1.21,0.48354,0.00465
1.215,0.48335,0.00405
1.22,0.4854,0.00442
1.225,0.48668,0.00464
1.23,0.48897,0.00431
1.235,0.48977,0.0039
1.24,0.49065,0.00397
1.245,0.4922,0.0039
1.25,0.49301,0.00381
1.255,0.49449,0.0043
1.26,0.49651,0.00392
1.265,0.49804,0.00372
1.27,0.49975,0.00392
1.275,0.5021,0.00414
1.28,0.50277,0.00412
1.285,0.50584,0.00448
1.29,0.5068,0.00441
1.295,0.50902,0.00424
1.3,0.51057,0.00417
1.305,0.51234,0.00418
1.31,0.51495,0.0044
1.315,0.51776,0.00396
1.32,0.51935,0.0041
