YY_OL_4,
W,R
0.5,0.280116503
0.503,0.282534187
0.506,0.285469637
0.509,0.288622529
0.512,0.288665115
0.515,0.289967687
0.518,0.29091272
0.521,0.293069287
0.524,0.294237602
0.527,0.294779828
0.53,0.297886802
0.533,0.300185169
0.536,0.301547529
0.539,0.302500401
0.542,0.30432702
0.545,0.305241342
0.548,0.30599411
0.551,0.308221787
0.554,0.309136217
0.557,0.310847916
0.56,0.311822428
0.563,0.312982197
0.566,0.314516409
0.569,0.315982726
0.572,0.317284678
0.575,0.318421556
0.578,0.318999972
0.581,0.319931744
0.584,0.321762072
0.587,0.323023503
0.59,0.323980248
0.593,0.324495202
0.596,0.326104525
0.599,0.327456023
0.602,0.328337235
0.605,0.32946152
0.608,0.330950483
0.611,0.331493698
0.614,0.332930204
0.617,0.3340773
0.62,0.335283348
0.623,0.336299364
0.626,0.337660914
0.629,0.338947379
0.632,0.339647462
0.635,0.340011201
0.638,0.341274868
0.641,0.34264619
0.644,0.344072752
0.647,0.345142599
0.65,0.346447677
0.653,0.34698335
0.656,0.348040061
0.659,0.349258149
0.662,0.350141647
0.665,0.351060001
0.668,0.351930487
0.671,0.352541037
0.674,0.354402427
0.677,0.354889032
0.68,0.35567158
0.683,0.356969094
0.686,0.358019911
0.689,0.359279491
0.692,0.359390804
0.695,0.360266843
0.698,0.361169286
0.701,0.362093477
0.704,0.363018062
0.707,0.363930081
0.71,0.364721541
0.713,0.364969937
0.716,0.365692972
0.719,0.366485165
0.722,0.366989204
0.725,0.368188793
0.728,0.369295185
0.731,0.369746745
0.734,0.370348812
0.737,0.370831987
0.74,0.371856372
0.743,0.37218499
0.746,0.373185251
0.749,0.373775629
0.752,0.374556235
0.755,0.374785746
0.758,0.375775419
0.761,0.376744201
0.764,0.376829744
0.767,0.377704925
0.77,0.37816246
0.773,0.378232889
0.776,0.379040291
0.779,0.379160821
0.782,0.379819433
0.785,0.380301802
0.788,0.380526301
0.791,0.381337107
0.794,0.381431667
0.797,0.382542498
0.8,0.382800533
0.803,0.383514306
0.806,0.384380506
0.809,0.384255586
0.812,0.384810642
0.815,0.38506214
0.818,0.385857842
0.821,0.386321528
0.824,0.386583119
0.827,0.387042434
0.83,0.388061154
0.833,0.388086252
0.836,0.388351304
0.839,0.38885427
0.842,0.389466636
0.845,0.389616385
0.848,0.390569367
0.851,0.391131617
0.854,0.391572439
0.857,0.392229791
0.86,0.392683923
0.863,0.393473368
0.866,0.39332479
0.869,0.393880707
0.872,0.394882696
0.875,0.394935056
0.878,0.395395058
0.881,0.39615577
0.884,0.39638276
0.887,0.397180531
0.89,0.397113499
0.893,0.397528917
0.896,0.397903341
0.899,0.398608515
0.902,0.398656767
0.905,0.398920682
0.908,0.399431665
0.911,0.400021082
0.914,0.400198926
0.917,0.400201823
0.92,0.400168806
0.923,0.400395426
0.926,0.400913004
0.929,0.400947086
0.932,0.400951372
0.935,0.400948835
0.938,0.40094947
0.941,0.400949369
0.944,0.400949346
0.947,0.400949677
0.95,0.40094783
0.953,0.400954186
0.956,0.400950422
0.959,0.400806
0.962,0.400112966
0.965,0.400214878
0.968,0.400180198
0.971,0.400142109
0.974,0.399361196
0.977,0.399450781
0.98,0.39946345
0.983,0.399079104
0.986,0.398653876
0.989,0.398755608
0.992,0.398203964
0.995,0.397901289
0.998,0.397925256
1.001,0.397973142
1.004,0.397566124
1.007,0.397124351
1.01,0.39717656
1.013,0.397174312
1.016,0.397172938
1.019,0.397173415
1.022,0.39717343
1.025,0.397173357
1.028,0.39717087
1.031,0.397191553
1.034,0.397093986
1.037,0.397850955
1.04,0.397906251
1.043,0.398139064
1.046,0.398774435
1.049,0.398606906
1.052,0.399408946
1.055,0.399854855
1.058,0.400524517
1.061,0.400940264
1.064,0.401547197
1.067,0.402493723
1.07,0.403327414
1.073,0.403913785
1.076,0.404878688
1.079,0.40579139
1.082,0.406713914
1.085,0.407592596
1.088,0.40881377
1.091,0.409530387
1.094,0.410763515
1.097,0.412082328
1.1,0.412983811
1.103,0.413858883
1.106,0.415163008
1.109,0.416128402
1.112,0.41755455
1.115,0.418750195
1.118,0.419574618
1.121,0.420926955
1.124,0.421480254
1.127,0.422826945
1.13,0.42363235
1.133,0.424924085
1.136,0.425894067
1.139,0.42692524
1.142,0.427977602
1.145,0.428625005
1.148,0.429578645
1.151,0.430496139
1.154,0.431413994
1.157,0.432336526
1.16,0.433244874
1.163,0.43417402
1.166,0.434653298
1.169,0.435879334
1.172,0.4364015
1.175,0.437432404
1.178,0.437988928
1.181,0.43896492
1.184,0.439692136
1.187,0.440083335
1.19,0.440932631
1.193,0.44186181
1.196,0.442667998
1.199,0.443053175
1.202,0.443836748
1.205,0.444766473
1.208,0.445302328
1.211,0.44606576
1.214,0.446779578
1.217,0.447368803
1.22,0.44784327
1.223,0.448808224
1.226,0.449524927
1.229,0.449921016
1.232,0.450781552
1.235,0.45165291
1.238,0.452049519
1.241,0.452766671
1.244,0.453698998
1.247,0.45460306
1.25,0.455150041
1.253,0.455901978
1.256,0.45660486
1.259,0.457542779
1.262,0.45841461
1.265,0.458995534
1.268,0.459704397
1.271,0.460450089
1.274,0.461385073
1.277,0.462327143
1.28,0.46304316
1.283,0.463779695
1.286,0.464339083
1.289,0.465233726
1.292,0.46613643
1.295,0.467102051
1.298,0.467694853
1.301,0.468519332
1.304,0.469791146
1.307,0.47031642
1.31,0.471282585
1.313,0.4722296
1.316,0.47273149
1.319,0.473650332
1.322,0.47477329
1.325,0.475889126
1.328,0.476816356
1.331,0.477372674
1.334,0.478527748
1.337,0.479362147
1.34,0.480496693
1.343,0.481395363
1.346,0.482316997
1.349,0.483207491
1.352,0.484377062
1.355,0.485804186
1.358,0.486742041
1.361,0.48766749
1.364,0.488584087
1.367,0.48950387
1.37,0.490422999
1.373,0.491342202
1.376,0.492261423
1.379,0.493180558
1.382,0.494099963
1.385,0.495019335
1.388,0.495932136
1.391,0.496895214
1.394,0.497495231
1.397,0.498313389
1.4,0.499236604
1.403,0.500146782
1.406,0.50112982
1.409,0.501638557
1.412,0.502915057
1.415,0.503407936
1.418,0.50439187
1.421,0.505280884
1.424,0.506236062
1.427,0.506734885
1.43,0.507684443
1.433,0.508593715
1.436,0.509503321
1.439,0.510438581
1.442,0.51094172
1.445,0.51190593
1.448,0.512798742
1.451,0.513760004
1.454,0.514260813
1.457,0.515196243
1.46,0.516145183
1.463,0.516754391
1.466,0.517562404
1.469,0.518448418
1.472,0.518985215
1.475,0.520000383
1.478,0.520559382
1.481,0.521414094
1.484,0.522258079
1.487,0.522824325
1.49,0.523843364
1.493,0.52436162
1.496,0.525230551
1.499,0.525771534
1.502,0.526560849
1.505,0.526940565
1.508,0.527794344
1.511,0.528673577
1.514,0.529075788
1.517,0.52976931
1.52,0.530742649
1.523,0.531235868
1.526,0.5317908
1.529,0.532582773
1.532,0.532966439
1.535,0.533791482
1.538,0.534641138
1.541,0.534828166
1.544,0.535647229
1.547,0.536012066
1.55,0.536889714
1.553,0.537321424
1.556,0.537969873
1.559,0.538682811
1.562,0.539078625
1.565,0.539962301
1.568,0.540354802
1.571,0.541125922
1.574,0.541342017
1.577,0.542519275
1.58,0.54254895
1.583,0.543279593
1.586,0.54364914
1.589,0.544342902
1.592,0.544453712
1.595,0.545343937
1.598,0.545738009
1.601,0.546215491
1.604,0.546669747
1.607,0.547117605
1.61,0.547751796
1.613,0.548189639
1.616,0.548843664
1.619,0.548969647
1.622,0.549761102
1.625,0.550040682
1.628,0.550454082
