ZK-Eif_0,
W,R
0.32,0.39564
0.321,0.3991
0.322,0.40275
0.323,0.40682
0.324,0.41073
0.325,0.41455
0.326,0.41729
0.327,0.42143
0.328,0.4262
0.329,0.43172
0.33,0.43515
0.331,0.43795
0.332,0.44279
0.333,0.44806
0.334,0.45149
0.335,0.45565
0.336,0.45982
0.337,0.46468
0.338,0.46821
0.339,0.47247
0.34,0.4783
0.341,0.48194
0.342,0.48435
0.343,0.49034
0.344,0.4976
0.345,0.50102
0.346,0.50297
0.347,0.50612
0.348,0.513
0.349,0.517
0.35,0.52065
0.351,0.52449
0.352,0.52983
0.353,0.535
0.354,0.53933
0.355,0.54294
0.356,0.54578
0.357,0.55014
0.358,0.55426
0.359,0.55847
0.36,0.56297
0.361,0.56666
0.362,0.56808
0.363,0.56935
0.364,0.57357
0.365,0.57713
0.366,0.57936
0.367,0.58217
0.368,0.58365
0.369,0.58613
0.37,0.58925
0.371,0.59052
0.372,0.59287
0.373,0.595
0.374,0.59628
0.375,0.60044
0.376,0.60719
0.377,0.6107
0.378,0.61329
0.379,0.61582
0.38,0.61841
0.381,0.62059
0.382,0.62458
0.383,0.62834
0.384,0.6298
0.385,0.63046
0.386,0.63184
0.387,0.63526
0.388,0.6401
0.389,0.64316
0.39,0.64555
0.391,0.64766
0.392,0.64867
0.393,0.65139
0.394,0.65447
0.395,0.65688
0.396,0.6586
0.397,0.66011
0.398,0.66148
0.399,0.66434
0.4,0.66706
0.401,0.66957
0.402,0.67374
0.403,0.6772
0.404,0.67914
0.405,0.68097
0.406,0.68269
0.407,0.68622
0.408,0.68822
0.409,0.6892
0.41,0.69057
0.411,0.6939
0.412,0.69738
0.413,0.69893
0.414,0.69993
0.415,0.70289
0.416,0.70439
0.417,0.70431
0.418,0.70598
0.419,0.70779
0.42,0.70954
0.421,0.7119
0.422,0.71296
0.423,0.71607
0.424,0.71871
0.425,0.72055
0.426,0.72325
0.427,0.72465
0.428,0.72559
0.429,0.72774
0.43,0.72993
0.431,0.73269
0.432,0.73481
0.433,0.73432
0.434,0.73815
0.435,0.742
0.436,0.7435
0.437,0.74283
0.438,0.74456
0.439,0.74623
0.44,0.74715
0.441,0.74897
0.442,0.74881
0.443,0.74818
0.444,0.74988
0.445,0.75227
0.446,0.75303
0.447,0.75478
0.448,0.75639
0.449,0.75712
0.45,0.75916
0.451,0.76093
0.452,0.76189
0.453,0.76266
0.454,0.76464
0.455,0.76776
0.456,0.76832
0.457,0.76949
0.458,0.77078
0.459,0.77229
0.46,0.77378
0.461,0.77499
0.462,0.77555
0.463,0.77686
0.464,0.7786
0.465,0.77962
0.466,0.78066
0.467,0.78195
0.468,0.78336
0.469,0.7855
0.47,0.78725
0.471,0.78902
0.472,0.79039
0.473,0.79304
0.474,0.79622
0.475,0.79725
0.476,0.79718
0.477,0.79973
0.478,0.80259
0.479,0.80218
0.48,0.80246
0.481,0.80506
0.482,0.80811
0.483,0.80912
0.484,0.81272
0.485,0.81499
0.486,0.81715
0.487,0.81957
0.488,0.82205
0.489,0.82536
0.49,0.82694
0.491,0.83061
0.492,0.83431
0.493,0.83647
0.494,0.83922
0.495,0.84344
0.496,0.84747
0.497,0.84995
0.498,0.85244
0.499,0.85591
0.5,0.85839
0.501,0.86035
0.502,0.86218
0.503,0.86607
0.504,0.86961
0.505,0.87301
0.506,0.87569
0.507,0.8789
0.508,0.88334
0.509,0.88734
0.51,0.89024
0.511,0.89378
0.512,0.897
0.513,0.8995
0.514,0.90305
0.515,0.90675
0.516,0.91
0.517,0.91408
0.518,0.91749
0.519,0.91923
0.52,0.92226
0.521,0.92514
0.522,0.92837
0.523,0.93188
0.524,0.93488
0.525,0.93742
0.526,0.94061
0.527,0.94373
0.528,0.94609
0.529,0.94917
0.53,0.95209
0.531,0.95485
0.532,0.95814
0.533,0.96141
0.534,0.96391
0.535,0.96512
0.536,0.96726
0.537,0.96866
0.538,0.97053
0.539,0.97487
0.54,0.97773
0.541,0.97776
0.542,0.9792
0.543,0.98134
0.544,0.98411
0.545,0.98678
0.546,0.98998
0.547,0.99232
0.548,0.99495
0.549,0.99673
0.55,1
0.551,1.00237
0.552,1.00503
0.553,1.00723
0.554,1.00838
0.555,1.01095
0.556,1.01135
0.557,1.01166
0.558,1.01383
0.559,1.0155
0.56,1.01711
0.561,1.01939
0.562,1.02076
0.563,1.02155
0.564,1.02192
0.565,1.02387
0.566,1.02528
0.567,1.02578
0.568,1.0259
0.569,1.027
0.57,1.02653
0.571,1.02747
0.572,1.02973
0.573,1.02995
0.574,1.02951
0.575,1.02998
0.576,1.03057
0.577,1.02994
0.578,1.03104
0.579,1.03215
0.58,1.03132
0.581,1.03178
0.582,1.03137
0.583,1.03019
0.584,1.03041
0.585,1.0314
0.586,1.03072
0.587,1.03069
0.588,1.03094
0.589,1.03159
0.59,1.03159
0.591,1.03047
0.592,1.03003
0.593,1.0302
0.594,1.03013
0.595,1.02897
0.596,1.02878
0.597,1.02874
0.598,1.02827
0.599,1.02714
0.6,1.02584
0.601,1.02688
0.602,1.02647
0.603,1.02558
0.604,1.02534
0.605,1.02385
0.606,1.02255
0.607,1.02322
0.608,1.02332
0.609,1.02175
0.61,1.02162
0.611,1.02053
0.612,1.01952
0.613,1.01913
0.614,1.01811
0.615,1.01713
0.616,1.01601
0.617,1.01453
0.618,1.01461
0.619,1.0145
0.62,1.01387
0.621,1.01521
0.622,1.01504
0.623,1.01281
0.624,1.01147
0.625,1.01139
0.626,1.01085
0.627,1.01094
0.628,1.012
0.629,1.01153
0.63,1.01099
0.631,1.01023
0.632,1.01004
0.633,1.01053
0.634,1.01043
0.635,1.01118
0.636,1.01197
0.637,1.01141
0.638,1.01143
0.639,1.01263
0.64,1.01288
0.641,1.01295
0.642,1.01421
0.643,1.01558
0.644,1.01643
0.645,1.01683
0.646,1.01679
0.647,1.01632
0.648,1.01543
0.649,1.01804
0.65,1.01857
0.651,1.01862
0.652,1.01897
0.653,1.01955
0.654,1.01972
0.655,1.0196
0.656,1.01982
0.657,1.02075
0.658,1.02046
0.659,1.02199
0.66,1.02422
0.661,1.02449
0.662,1.02334
0.663,1.02316
0.664,1.02317
0.665,1.02546
0.666,1.02513
0.667,1.02533
0.668,1.02523
0.669,1.02571
0.67,1.02468
0.671,1.0244
0.672,1.02598
0.673,1.02733
0.674,1.02782
0.675,1.0268
0.676,1.02643
0.677,1.02561
0.678,1.02526
0.679,1.02557
0.68,1.02498
0.681,1.0241
0.682,1.02345
0.683,1.02344
0.684,1.02354
0.685,1.02361
0.686,1.02201
0.687,1.02043
0.688,1.02178
0.689,1.02236
0.69,1.02177
0.691,1.02135
0.692,1.0202
0.693,1.01971
0.694,1.02007
0.695,1.02032
0.696,1.02023
0.697,1.02002
0.698,1.01887
0.699,1.01742
0.7,1.01696
0.701,1.017
0.702,1.01504
0.703,1.01291
0.704,1.01375
0.705,1.01468
0.706,1.01439
0.707,1.01419
0.708,1.01259
0.709,1.01176
0.71,1.00985
0.711,1.0099
0.712,1.01016
0.713,1.0104
0.714,1.00933
0.715,1.00627
0.716,1.00524
0.717,1.00584
0.718,1.00405
0.719,1.00309
0.72,1.00341
0.721,1.00058
0.722,0.99993
0.723,0.99877
0.724,0.99839
0.725,0.99699
0.726,0.99558
0.727,0.99525
0.728,0.99484
0.729,0.99214
0.73,0.99006
0.731,0.98751
0.732,0.98656
0.733,0.98549
0.734,0.98406
0.735,0.98228
0.736,0.97967
0.737,0.97514
0.738,0.97433
0.739,0.97479
0.74,0.97251
0.741,0.96929
0.742,0.9682
0.743,0.96512
0.744,0.96269
0.745,0.96206
0.746,0.96083
0.747,0.95706
0.748,0.95379
0.749,0.95144
0.75,0.94741
0.751,0.94704
0.752,0.94585
0.753,0.94346
0.754,0.93978
0.755,0.93866
0.756,0.93526
0.757,0.93033
0.758,0.92834
0.759,0.92898
0.76,0.92719
0.761,0.92214
0.762,0.91797
0.763,0.91259
0.764,0.90985
0.765,0.9106
0.766,0.91078
0.767,0.90567
0.768,0.90205
0.769,0.90008
0.77,0.89651
0.771,0.89545
0.772,0.89313
0.773,0.89036
0.774,0.88408
0.775,0.88291
0.776,0.88186
0.777,0.87816
0.778,0.87386
0.779,0.87303
0.78,0.87093
0.781,0.86662
0.782,0.86473
0.783,0.86495
0.784,0.86169
0.785,0.85516
0.786,0.85191
0.787,0.84994
0.788,0.84845
0.789,0.84292
0.79,0.84124
0.791,0.83936
0.792,0.83724
0.793,0.83426
0.794,0.83156
0.795,0.83023
0.796,0.82743
0.797,0.82191
0.798,0.82167
0.799,0.81996
0.8,0.81838
0.801,0.81403
0.802,0.81025
0.803,0.80799
0.804,0.80614
0.805,0.80332
0.806,0.80042
0.807,0.79457
0.808,0.79212
0.809,0.79201
0.81,0.79067
0.811,0.78766
0.812,0.78633
0.813,0.78522
0.814,0.78332
0.815,0.78004
0.816,0.77821
0.817,0.77461
0.818,0.76978
0.819,0.76726
0.82,0.77064
0.821,0.76934
0.822,0.76857
0.823,0.76419
0.824,0.76307
0.825,0.76289
0.826,0.75929
0.827,0.75428
0.828,0.7517
0.829,0.74995
0.83,0.74809
0.831,0.74578
0.832,0.74547
0.833,0.74154
0.834,0.73943
0.835,0.73971
0.836,0.74044
0.837,0.74036
0.838,0.73418
0.839,0.72911
0.84,0.73371
0.841,0.73353
0.842,0.72958
0.843,0.72687
0.844,0.72345
0.845,0.71719
0.846,0.72057
0.847,0.72111
0.848,0.71787
0.849,0.71639
0.85,0.71686
0.851,0.72012
0.852,0.71294
0.853,0.7089
0.854,0.70785
0.855,0.70157
0.856,0.70599
0.857,0.70949
0.858,0.7063
0.859,0.70449
0.86,0.70376
0.861,0.70281
0.862,0.70097
0.863,0.69966
0.864,0.70013
0.865,0.69851
0.866,0.69712
0.867,0.69496
0.868,0.69513
0.869,0.69277
0.87,0.69361
0.871,0.69533
0.872,0.69385
0.873,0.691
0.874,0.68819
0.875,0.68651
0.876,0.68486
0.877,0.68351
0.878,0.6831
0.879,0.68383
0.88,0.68366
0.881,0.68213
0.882,0.68168
0.883,0.68097
0.884,0.67947
0.885,0.67695
0.886,0.6769
0.887,0.67589
0.888,0.67549
0.889,0.67381
0.89,0.67318
0.891,0.67242
0.892,0.67171
0.893,0.66963
0.894,0.66847
0.895,0.66752
0.896,0.66613
0.897,0.66615
0.898,0.66456
0.899,0.66363
0.9,0.66343
0.901,0.66277
0.902,0.66033
0.903,0.65986
0.904,0.66
0.905,0.6589
0.906,0.65799
0.907,0.65696
0.908,0.65567
0.909,0.65421
0.91,0.6541
0.911,0.65333
0.912,0.65331
0.913,0.65232
0.914,0.65098
0.915,0.64992
0.916,0.64992
0.917,0.64975
0.918,0.64843
0.919,0.64823
0.92,0.64797
0.921,0.64619
0.922,0.6437
0.923,0.64172
0.924,0.64033
0.925,0.6393
0.926,0.63698
0.927,0.63454
0.928,0.6332
0.929,0.63173
0.93,0.63026
0.931,0.62915
0.932,0.62872
0.933,0.62698
0.934,0.62554
0.935,0.6257
0.936,0.62454
0.937,0.62365
0.938,0.62332
0.939,0.62288
0.94,0.6218
0.941,0.62077
0.942,0.61966
0.943,0.61928
0.944,0.61872
0.945,0.61875
0.946,0.61723
0.947,0.61633
0.948,0.61614
0.949,0.61604
0.95,0.61526
0.951,0.61494
0.952,0.61393
0.953,0.61402
0.954,0.61386
0.955,0.61347
0.956,0.61308
0.957,0.61184
0.958,0.61145
0.959,0.61191
0.96,0.61074
0.961,0.61021
0.962,0.61113
0.963,0.61058
0.964,0.6104
0.965,0.61077
0.966,0.61036
0.967,0.61074
0.968,0.611
0.969,0.61036
0.97,0.61011
0.971,0.61049
0.972,0.61023
0.973,0.60976
0.974,0.61046
0.975,0.61087
0.976,0.61063
0.977,0.61107
0.978,0.61193
0.979,0.61128
0.98,0.61108
0.981,0.61151
0.982,0.6121
0.983,0.61256
0.984,0.61296
0.985,0.61291
0.986,0.61236
0.987,0.61352
0.988,0.61427
0.989,0.61448
0.99,0.61524
0.991,0.61563
0.992,0.6163
0.993,0.61672
0.994,0.61741
0.995,0.61875
0.996,0.61932
0.997,0.61888
0.998,0.61923
0.999,0.62067
1,0.62088
1.001,0.62127
1.002,0.62205
1.003,0.62248
1.004,0.62292
1.005,0.62374
1.006,0.62488
1.007,0.62637
1.008,0.62666
1.009,0.62666
1.01,0.62773
1.011,0.62821
1.012,0.62911
1.013,0.62971
1.014,0.63019
1.015,0.63132
1.016,0.63254
1.017,0.63461
1.018,0.63438
1.019,0.63524
1.02,0.63593
1.021,0.63709
1.022,0.63786
1.023,0.6387
1.024,0.63952
1.025,0.64018
1.026,0.64077
1.027,0.64222
1.028,0.64263
1.029,0.64329
1.03,0.64465
1.031,0.64553
1.032,0.64628
1.033,0.64802
1.034,0.64874
1.035,0.65037
1.036,0.65095
1.037,0.65094
1.038,0.65202
1.039,0.65317
1.04,0.65454
1.041,0.65531
1.042,0.65649
1.043,0.6574
1.044,0.65804
1.045,0.65941
1.046,0.66009
